,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,UAB,Conference USA,FG GOOD,"{'minutes': 3, 'seconds': 7}",1,"{'minutes': 11, 'seconds': 49}",71,252462633,25246263301,Tennessee,SEC,8,True,1,"{'minutes': 14, 'seconds': 56}",20,51,2005
1,Tennessee,SEC,FUMBLE,{'seconds': 4},1,"{'minutes': 11, 'seconds': 45}",67,252462633,25246263302,UAB,Conference USA,1,False,1,"{'minutes': 11, 'seconds': 49}",70,3,2005
2,UAB,Conference USA,PASSING TD,"{'minutes': 2, 'seconds': 46}",1,"{'minutes': 8, 'seconds': 59}",100,252462633,25246263303,Tennessee,SEC,6,True,1,"{'minutes': 11, 'seconds': 45}",67,33,2005
3,Tennessee,SEC,PUNT,"{'minutes': 5, 'seconds': 3}",1,"{'minutes': 3, 'seconds': 56}",46,252462633,25246263304,UAB,Conference USA,7,False,1,"{'minutes': 8, 'seconds': 59}",75,29,2005
4,UAB,Conference USA,FG MISSED,"{'minutes': 5, 'seconds': 35}",2,"{'minutes': 13, 'seconds': 21}",70,252462633,25246263305,Tennessee,SEC,11,False,1,"{'minutes': 3, 'seconds': 56}",20,50,2005
5,Tennessee,SEC,PUNT,"{'minutes': 1, 'seconds': 46}",2,"{'minutes': 11, 'seconds': 35}",63,252462633,25246263306,UAB,Conference USA,3,False,2,"{'minutes': 13, 'seconds': 21}",70,7,2005
6,UAB,Conference USA,INT,"{'minutes': 1, 'seconds': 1}",2,"{'minutes': 10, 'seconds': 34}",32,252462633,25246263307,Tennessee,SEC,4,False,2,"{'minutes': 11, 'seconds': 35}",9,23,2005
7,Tennessee,SEC,FG GOOD,"{'minutes': 2, 'seconds': 17}",2,"{'minutes': 8, 'seconds': 17}",21,252462633,25246263308,UAB,Conference USA,6,True,2,"{'minutes': 10, 'seconds': 34}",58,37,2005
8,UAB,Conference USA,PUNT,"{'minutes': 2, 'seconds': 4}",2,"{'minutes': 6, 'seconds': 13}",45,252462633,25246263309,Tennessee,SEC,5,False,2,"{'minutes': 8, 'seconds': 17}",32,13,2005
9,Tennessee,SEC,PUNT,"{'minutes': 3, 'seconds': 42}",2,"{'minutes': 2, 'seconds': 31}",44,252462633,25246263310,UAB,Conference USA,7,False,2,"{'minutes': 6, 'seconds': 13}",84,40,2005
10,UAB,Conference USA,PASSING TD,"{'minutes': 1, 'seconds': 53}",2,{'seconds': 38},100,252462633,25246263311,Tennessee,SEC,10,True,2,"{'minutes': 2, 'seconds': 31}",20,80,2005
11,Tennessee,SEC,END OF HALF,{'seconds': 38},2,{},54,252462633,25246263312,UAB,Conference USA,3,False,2,{'seconds': 38},75,21,2005
12,Tennessee,SEC,PUNT,"{'minutes': 2, 'seconds': 11}",3,"{'minutes': 12, 'seconds': 45}",50,252462633,25246263313,UAB,Conference USA,4,False,3,"{'minutes': 14, 'seconds': 56}",82,32,2005
13,UAB,Conference USA,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 44}",3,"{'minutes': 9, 'seconds': 1}",68,252462633,25246263314,Tennessee,SEC,9,False,3,"{'minutes': 12, 'seconds': 45}",11,57,2005
14,Tennessee,SEC,INT,"{'minutes': 4, 'seconds': 43}",3,"{'minutes': 4, 'seconds': 18}",3,252462633,25246263315,UAB,Conference USA,12,False,3,"{'minutes': 9, 'seconds': 1}",68,65,2005
15,UAB,Conference USA,INT,"{'minutes': 6, 'seconds': 12}",4,"{'minutes': 13, 'seconds': 6}",86,252462633,25246263316,Tennessee,SEC,13,False,3,"{'minutes': 4, 'seconds': 18}",35,51,2005
16,Tennessee,SEC,PASSING TD,"{'minutes': 5, 'seconds': 20}",4,"{'minutes': 7, 'seconds': 46}",0,252462633,25246263317,UAB,Conference USA,11,True,4,"{'minutes': 13, 'seconds': 6}",86,86,2005
