,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
0,Texas A&M,Big 12,PUNT,"{'minutes': 1, 'seconds': 15}",1.0,"{'minutes': 13, 'seconds': 45}",71.0,262450245.0,26245024501,The Citadel,,3.0,False,2006,1.0,{'minutes': 15},80.0,9.0
1,The Citadel,,RUSHING TD,"{'minutes': 4, 'seconds': 29}",1.0,"{'minutes': 9, 'seconds': 16}",100.0,262450245.0,26245024502,Texas A&M,Big 12,10.0,True,2006,1.0,"{'minutes': 13, 'seconds': 45}",37.0,63.0
2,Texas A&M,Big 12,PUNT,"{'minutes': 3, 'seconds': 19}",1.0,"{'minutes': 5, 'seconds': 57}",54.0,262450245.0,26245024503,The Citadel,,8.0,False,2006,1.0,"{'minutes': 9, 'seconds': 16}",90.0,36.0
3,The Citadel,,FUMBLE,"{'minutes': 3, 'seconds': 2}",1.0,"{'minutes': 2, 'seconds': 55}",11.0,262450245.0,26245024504,Texas A&M,Big 12,6.0,False,2006,1.0,"{'minutes': 5, 'seconds': 57}",7.0,4.0
4,Texas A&M,Big 12,FUMBLE,{'seconds': 46},1.0,"{'minutes': 2, 'seconds': 9}",88.0,262450245.0,26245024505,The Citadel,,2.0,False,2006,1.0,"{'minutes': 2, 'seconds': 55}",11.0,-77.0
5,The Citadel,,RUSHING TD,{'seconds': 32},1.0,"{'minutes': 1, 'seconds': 37}",100.0,262450245.0,26245024506,Texas A&M,Big 12,2.0,True,2006,1.0,"{'minutes': 2, 'seconds': 9}",88.0,12.0
6,Texas A&M,Big 12,PUNT,"{'minutes': 2, 'seconds': 17}",2.0,"{'minutes': 14, 'seconds': 20}",79.0,262450245.0,26245024507,The Citadel,,5.0,False,2006,1.0,"{'minutes': 1, 'seconds': 37}",83.0,4.0
7,The Citadel,,RUSHING TD,{'seconds': 39},2.0,"{'minutes': 13, 'seconds': 41}",100.0,262450245.0,26245024508,Texas A&M,Big 12,1.0,True,2006,2.0,"{'minutes': 14, 'seconds': 20}",99.0,1.0
8,Texas A&M,Big 12,FG GOOD,"{'minutes': 8, 'seconds': 33}",2.0,"{'minutes': 5, 'seconds': 8}",12.0,262450245.0,26245024509,The Citadel,,18.0,True,2006,2.0,"{'minutes': 13, 'seconds': 41}",89.0,77.0
9,The Citadel,,PUNT,"{'minutes': 1, 'seconds': 12}",2.0,"{'minutes': 3, 'seconds': 56}",20.0,262450245.0,26245024510,Texas A&M,Big 12,3.0,False,2006,2.0,"{'minutes': 5, 'seconds': 8}",20.0,0.0
10,Texas A&M,Big 12,PUNT,{'seconds': 36},2.0,"{'minutes': 3, 'seconds': 20}",77.0,262450245.0,26245024511,The Citadel,,3.0,False,2006,2.0,"{'minutes': 3, 'seconds': 56}",82.0,5.0
11,The Citadel,,PUNT,"{'minutes': 1, 'seconds': 29}",2.0,"{'minutes': 1, 'seconds': 51}",36.0,262450245.0,26245024512,Texas A&M,Big 12,3.0,False,2006,2.0,"{'minutes': 3, 'seconds': 20}",39.0,-3.0
12,Texas A&M,Big 12,TURNOVER ON DOWNS,{'seconds': 51},2.0,{'minutes': 1},41.0,262450245.0,26245024513,The Citadel,,6.0,False,2006,2.0,"{'minutes': 1, 'seconds': 51}",63.0,22.0
13,The Citadel,,FG MISSED,{'seconds': 58},2.0,{'seconds': 2},74.0,262450245.0,26245024514,Texas A&M,Big 12,8.0,False,2006,2.0,{'minutes': 1},41.0,33.0
14,Texas A&M,Big 12,END OF HALF,{'seconds': 2},2.0,{},78.0,262450245.0,26245024515,The Citadel,,1.0,False,2006,2.0,{'seconds': 2},74.0,-4.0
15,The Citadel,,RUSHING TD,"{'minutes': 3, 'seconds': 6}",3.0,"{'minutes': 11, 'seconds': 34}",100.0,262450245.0,26245024516,Texas A&M,Big 12,6.0,True,2006,3.0,"{'minutes': 14, 'seconds': 40}",59.0,41.0
16,Texas A&M,Big 12,PUNT,"{'minutes': 2, 'seconds': 2}",3.0,"{'minutes': 9, 'seconds': 32}",85.0,262450245.0,26245024517,The Citadel,,3.0,False,2006,3.0,"{'minutes': 11, 'seconds': 34}",91.0,6.0
17,The Citadel,,FUMBLE,"{'minutes': 1, 'seconds': 41}",3.0,"{'minutes': 7, 'seconds': 51}",66.0,262450245.0,26245024518,Texas A&M,Big 12,3.0,False,2006,3.0,"{'minutes': 9, 'seconds': 32}",47.0,19.0
18,Texas A&M,Big 12,PUNT,"{'minutes': 2, 'seconds': 43}",3.0,"{'minutes': 5, 'seconds': 8}",59.0,262450245.0,26245024519,The Citadel,,2.0,False,2006,3.0,"{'minutes': 7, 'seconds': 51}",66.0,7.0
19,The Citadel,,FUMBLE,"{'minutes': 1, 'seconds': 18}",3.0,"{'minutes': 3, 'seconds': 50}",29.0,262450245.0,26245024520,Texas A&M,Big 12,3.0,False,2006,3.0,"{'minutes': 5, 'seconds': 8}",20.0,9.0
20,Texas A&M,Big 12,FG MISSED,"{'minutes': 1, 'seconds': 52}",3.0,"{'minutes': 1, 'seconds': 58}",27.0,262450245.0,26245024521,The Citadel,,4.0,False,2006,3.0,"{'minutes': 3, 'seconds': 50}",29.0,2.0
21,The Citadel,,PUNT,"{'minutes': 2, 'seconds': 12}",4.0,"{'minutes': 14, 'seconds': 46}",34.0,262450245.0,26245024522,Texas A&M,Big 12,3.0,False,2006,3.0,"{'minutes': 1, 'seconds': 58}",27.0,7.0
22,Texas A&M,Big 12,PUNT,{'seconds': 32},4.0,"{'minutes': 14, 'seconds': 14}",87.0,262450245.0,26245024523,The Citadel,,3.0,False,2006,4.0,"{'minutes': 14, 'seconds': 46}",87.0,0.0
23,The Citadel,,FUMBLE,"{'minutes': 1, 'seconds': 11}",4.0,"{'minutes': 13, 'seconds': 3}",61.0,262450245.0,26245024524,Texas A&M,Big 12,2.0,False,2006,4.0,"{'minutes': 14, 'seconds': 14}",54.0,7.0
24,Texas A&M,Big 12,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 25}",4.0,"{'minutes': 9, 'seconds': 38}",16.0,262450245.0,26245024525,The Citadel,,11.0,False,2006,4.0,"{'minutes': 13, 'seconds': 3}",61.0,45.0
25,The Citadel,,PASSING TD,"{'minutes': 4, 'seconds': 29}",4.0,"{'minutes': 5, 'seconds': 9}",100.0,262450245.0,26245024526,Texas A&M,Big 12,10.0,True,2006,4.0,"{'minutes': 9, 'seconds': 38}",16.0,84.0
26,Texas A&M,Big 12,PUNT,"{'minutes': 1, 'seconds': 23}",4.0,"{'minutes': 3, 'seconds': 46}",76.0,262450245.0,26245024527,The Citadel,,3.0,False,2006,4.0,"{'minutes': 5, 'seconds': 9}",81.0,5.0
27,The Citadel,,END OF GAME,"{'minutes': 3, 'seconds': 46}",4.0,{},75.0,262450245.0,26245024528,Texas A&M,Big 12,7.0,False,2006,4.0,"{'minutes': 3, 'seconds': 46}",41.0,34.0
28,Louisiana,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 6}",1.0,"{'minutes': 12, 'seconds': 45}",80.0,262520245.0,26252024501,Texas A&M,Big 12,3.0,False,2006,1.0,"{'minutes': 14, 'seconds': 51}",83.0,-3.0
29,Louisiana,Sun Belt,RUSHING TD,"{'minutes': 2, 'seconds': 46}",1.0,"{'minutes': 9, 'seconds': 59}",100.0,262520245.0,26252024502,Texas A&M,Big 12,7.0,True,2006,1.0,"{'minutes': 12, 'seconds': 45}",55.0,45.0
30,Texas A&M,Big 12,PUNT,"{'minutes': 1, 'seconds': 57}",1.0,"{'minutes': 8, 'seconds': 2}",78.0,262520245.0,26252024503,Louisiana,Sun Belt,3.0,False,2006,1.0,"{'minutes': 9, 'seconds': 59}",80.0,2.0
