,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Texas State,,Uncategorized,{},1,{'minutes': 15},35,252650245,25265024501,Texas A&M,Big 12,1,False,1,{'minutes': 15},35,0,2005
1,Texas A&M,Big 12,PUNT,"{'minutes': 1, 'seconds': 5}",1,"{'minutes': 13, 'seconds': 55}",66,252650245,25265024502,Texas State,,3,False,1,{'minutes': 15},65,-1,2005
2,Texas State,,FG GOOD,"{'minutes': 2, 'seconds': 41}",1,"{'minutes': 11, 'seconds': 14}",89,252650245,25265024503,Texas A&M,Big 12,7,True,1,"{'minutes': 13, 'seconds': 55}",36,53,2005
3,Texas A&M,Big 12,INT,"{'minutes': 2, 'seconds': 11}",1,"{'minutes': 9, 'seconds': 3}",29,252650245,25265024504,Texas State,,6,False,1,"{'minutes': 11, 'seconds': 14}",80,51,2005
4,Texas State,,PUNT,"{'minutes': 1, 'seconds': 2}",1,"{'minutes': 8, 'seconds': 1}",20,252650245,25265024505,Texas A&M,Big 12,3,False,1,"{'minutes': 9, 'seconds': 3}",22,-2,2005
5,Texas State,,RUSHING TD,"{'minutes': 1, 'seconds': 28}",1,"{'minutes': 6, 'seconds': 27}",100,252650245,25265024507,Texas A&M,Big 12,4,True,0,{},82,18,2005
6,Texas A&M,Big 12,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 27}",1,{'minutes': 4},84,252650245,25265024508,Texas State,,4,False,1,"{'minutes': 6, 'seconds': 27}",73,-11,2005
7,Texas State,,FG GOOD,"{'minutes': 2, 'seconds': 30}",1,"{'minutes': 1, 'seconds': 30}",97,252650245,25265024509,Texas A&M,Big 12,6,True,1,{'minutes': 4},84,13,2005
8,Texas A&M,Big 12,PASSING TD,"{'minutes': 2, 'seconds': 59}",2,"{'minutes': 13, 'seconds': 25}",0,252650245,25265024510,Texas State,,5,True,1,"{'minutes': 1, 'seconds': 30}",78,78,2005
9,Texas State,,PASSING TD,{'seconds': 30},2,"{'minutes': 12, 'seconds': 55}",100,252650245,25265024511,Texas A&M,Big 12,3,True,2,"{'minutes': 13, 'seconds': 25}",12,88,2005
10,Texas A&M,Big 12,PASSING TD,"{'minutes': 3, 'seconds': 5}",2,"{'minutes': 9, 'seconds': 50}",0,252650245,25265024512,Texas State,,6,True,2,"{'minutes': 12, 'seconds': 55}",80,80,2005
11,Texas State,,FUMBLE,"{'minutes': 2, 'seconds': 20}",2,"{'minutes': 7, 'seconds': 30}",62,252650245,25265024513,Texas A&M,Big 12,6,False,2,"{'minutes': 9, 'seconds': 50}",12,50,2005
12,Texas A&M,Big 12,FG GOOD,"{'minutes': 3, 'seconds': 16}",2,"{'minutes': 4, 'seconds': 14}",15,252650245,25265024514,Texas State,,10,True,2,"{'minutes': 7, 'seconds': 30}",46,31,2005
13,Texas State,,PASSING TD,"{'minutes': 2, 'seconds': 23}",2,"{'minutes': 1, 'seconds': 51}",100,252650245,25265024515,Texas A&M,Big 12,5,True,2,"{'minutes': 4, 'seconds': 14}",20,80,2005
14,Texas A&M,Big 12,END OF HALF,"{'minutes': 1, 'seconds': 51}",2,{},74,252650245,25265024516,Texas State,,3,False,2,"{'minutes': 1, 'seconds': 51}",86,12,2005
15,Texas State,,RUSHING TD,"{'minutes': 1, 'seconds': 54}",3,"{'minutes': 13, 'seconds': 6}",100,252650245,25265024517,Texas A&M,Big 12,8,True,3,{'minutes': 15},20,80,2005
16,Texas A&M,Big 12,FG MISSED,"{'minutes': 4, 'seconds': 49}",3,"{'minutes': 8, 'seconds': 17}",25,252650245,25265024518,Texas State,,10,False,3,"{'minutes': 13, 'seconds': 6}",76,51,2005
17,Texas State,,RUSHING TD,"{'minutes': 5, 'seconds': 8}",3,"{'minutes': 3, 'seconds': 9}",100,252650245,25265024519,Texas A&M,Big 12,10,True,3,"{'minutes': 8, 'seconds': 17}",25,75,2005
18,Texas A&M,Big 12,PASSING TD,"{'minutes': 3, 'seconds': 14}",4,"{'minutes': 14, 'seconds': 54}",0,252650245,25265024520,Texas State,,10,True,3,"{'minutes': 3, 'seconds': 9}",85,85,2005
19,Texas State,,FG GOOD,"{'minutes': 3, 'seconds': 33}",4,"{'minutes': 11, 'seconds': 21}",99,252650245,25265024521,Texas A&M,Big 12,10,True,4,"{'minutes': 14, 'seconds': 54}",20,79,2005
20,Texas A&M,Big 12,RUSHING TD,"{'minutes': 2, 'seconds': 21}",4,{'minutes': 9},0,252650245,25265024522,Texas State,,4,True,4,"{'minutes': 11, 'seconds': 21}",78,78,2005
21,Texas State,,Uncategorized,{'minutes': 9},4,{},25,252650245,25265024523,Texas A&M,Big 12,1,False,4,{'minutes': 9},22,3,2005
22,Texas A&M,Big 12,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 29}",4,"{'minutes': 6, 'seconds': 21}",12,252650245,25265024524,Texas State,,4,False,0,{},3,-5,2005
23,Texas State,,PUNT,"{'minutes': 4, 'seconds': 45}",4,"{'minutes': 1, 'seconds': 36}",49,252650245,25265024525,Texas A&M,Big 12,7,False,4,"{'minutes': 6, 'seconds': 21}",12,37,2005
24,Texas A&M,Big 12,PUNT,{'minutes': 1},4,{'seconds': 36},88,252650245,25265024526,Texas State,,3,False,4,"{'minutes': 1, 'seconds': 36}",80,-8,2005
25,Texas State,,END OF GAME,{'seconds': 36},4,{},41,252650245,25265024527,Texas A&M,Big 12,1,False,4,{'seconds': 36},42,-1,2005
26,Texas State,,Uncategorized,{},1,{'minutes': 15},63,272580239,27258023901,Baylor,Big 12,6,False,1,{'minutes': 15},26,37,2007
