,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Toledo,Mid-American,INT,{'minutes': 2},1,{'minutes': 13},42,252442649,25244264901,Western Illinois,,4,False,1,{'minutes': 15},80,38,2005
1,Western Illinois,,INT RETURN TOUCH,{},1,{'minutes': 13},100,252442649,25244264902,Toledo,Mid-American,1,True,1,{'minutes': 13},97,55,2005
2,Toledo,Mid-American,PUNT,{'seconds': 30},1,"{'minutes': 12, 'seconds': 30}",52,252442649,25244264903,Western Illinois,,5,False,1,{'minutes': 13},61,9,2005
3,Western Illinois,,FG GOOD,"{'minutes': 5, 'seconds': 7}",1,"{'minutes': 7, 'seconds': 23}",84,252442649,25244264904,Toledo,Mid-American,4,True,1,"{'minutes': 12, 'seconds': 30}",85,-1,2005
4,Toledo,Mid-American,PUNT,"{'minutes': 1, 'seconds': 37}",1,"{'minutes': 5, 'seconds': 46}",83,252442649,25244264905,Western Illinois,,3,False,1,"{'minutes': 7, 'seconds': 23}",80,-3,2005
5,Western Illinois,,FG GOOD,"{'minutes': 3, 'seconds': 32}",1,"{'minutes': 2, 'seconds': 14}",89,252442649,25244264906,Toledo,Mid-American,9,True,1,"{'minutes': 5, 'seconds': 46}",38,51,2005
6,Toledo,Mid-American,FUMBLE,{'seconds': 26},1,"{'minutes': 1, 'seconds': 48}",36,252442649,25244264907,Western Illinois,,4,False,1,"{'minutes': 2, 'seconds': 14}",80,3,2005
7,Western Illinois,,PASSING TD,"{'minutes': 1, 'seconds': 33}",2,"{'minutes': 14, 'seconds': 51}",100,252442649,25244264908,Toledo,Mid-American,7,True,1,"{'minutes': 1, 'seconds': 48}",64,36,2005
8,Toledo,Mid-American,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 21}",2,"{'minutes': 12, 'seconds': 30}",32,252442649,25244264909,Western Illinois,,9,False,2,"{'minutes': 14, 'seconds': 51}",67,35,2005
9,Western Illinois,,PUNT,"{'minutes': 3, 'seconds': 19}",2,"{'minutes': 9, 'seconds': 11}",33,252442649,25244264910,Toledo,Mid-American,3,False,2,"{'minutes': 12, 'seconds': 30}",32,1,2005
