,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Troy,Sun Belt,PUNT,"{'minutes': 2, 'seconds': 6}",1,"{'minutes': 12, 'seconds': 50}",38,252600142,25260014201,Missouri,Big 12,6,False,1,"{'minutes': 14, 'seconds': 56}",20,18,2005
1,Missouri,Big 12,PUNT,"{'minutes': 1, 'seconds': 11}",1,"{'minutes': 11, 'seconds': 39}",74,252600142,25260014202,Troy,Sun Belt,4,False,1,"{'minutes': 12, 'seconds': 50}",83,9,2005
2,Troy,Sun Belt,RUSHING TD,{'seconds': 15},1,"{'minutes': 11, 'seconds': 24}",100,252600142,25260014203,Missouri,Big 12,1,True,1,"{'minutes': 11, 'seconds': 39}",41,59,2005
3,Missouri,Big 12,PUNT,"{'minutes': 1, 'seconds': 9}",1,"{'minutes': 10, 'seconds': 15}",63,252600142,25260014204,Troy,Sun Belt,5,False,1,"{'minutes': 11, 'seconds': 24}",77,14,2005
4,Troy,Sun Belt,FG GOOD,"{'minutes': 2, 'seconds': 49}",1,"{'minutes': 7, 'seconds': 26}",96,252600142,25260014205,Missouri,Big 12,7,True,1,"{'minutes': 10, 'seconds': 15}",68,28,2005
5,Missouri,Big 12,Uncategorized,"{'minutes': 3, 'seconds': 31}",1,"{'minutes': 3, 'seconds': 55}",142,252600142,25260014206,Troy,Sun Belt,9,True,1,"{'minutes': 7, 'seconds': 26}",76,66,2005
6,Troy,Sun Belt,PUNT,"{'minutes': 6, 'seconds': 32}",2,"{'minutes': 12, 'seconds': 23}",61,252600142,25260014207,Missouri,Big 12,15,False,1,"{'minutes': 3, 'seconds': 55}",10,29,2005
7,Missouri,Big 12,PUNT,"{'minutes': 1, 'seconds': 34}",2,"{'minutes': 10, 'seconds': 49}",85,252600142,25260014208,Troy,Sun Belt,3,False,2,"{'minutes': 12, 'seconds': 23}",89,4,2005
8,Troy,Sun Belt,PASSING TD,"{'minutes': 2, 'seconds': 36}",2,"{'minutes': 8, 'seconds': 13}",100,252600142,25260014209,Missouri,Big 12,7,True,2,"{'minutes': 10, 'seconds': 49}",48,52,2005
9,Missouri,Big 12,PUNT,{'seconds': 59},2,"{'minutes': 7, 'seconds': 14}",78,252600142,25260014210,Troy,Sun Belt,3,False,2,"{'minutes': 8, 'seconds': 13}",78,0,2005
10,Troy,Sun Belt,FG GOOD,"{'minutes': 3, 'seconds': 31}",2,"{'minutes': 3, 'seconds': 43}",76,252600142,25260014211,Missouri,Big 12,12,True,2,"{'minutes': 7, 'seconds': 14}",32,44,2005
11,Missouri,Big 12,PUNT,"{'minutes': 2, 'seconds': 31}",2,"{'minutes': 1, 'seconds': 12}",49,252600142,25260014212,Troy,Sun Belt,5,False,2,"{'minutes': 3, 'seconds': 43}",79,30,2005
12,Troy,Sun Belt,PUNT,{'seconds': 48},2,{'seconds': 24},17,252600142,25260014213,Missouri,Big 12,3,False,2,"{'minutes': 1, 'seconds': 12}",11,6,2005
13,Missouri,Big 12,FG MISSED,{'seconds': 24},2,{},34,252600142,25260014214,Troy,Sun Belt,4,False,2,{'seconds': 24},61,27,2005
14,Troy,Sun Belt,END OF HALF,{},2,{},51,252600142,25260014215,Missouri,Big 12,1,False,2,{},51,0,2005
15,Missouri,Big 12,FUMBLE,{'seconds': 7},3,"{'minutes': 14, 'seconds': 50}",87,252600142,25260014216,Troy,Sun Belt,1,False,3,"{'minutes': 14, 'seconds': 57}",84,-3,2005
16,Troy,Sun Belt,RUSHING TD,{'seconds': 12},3,"{'minutes': 14, 'seconds': 38}",100,252600142,25260014217,Missouri,Big 12,1,True,3,"{'minutes': 14, 'seconds': 50}",87,13,2005
17,Missouri,Big 12,PUNT,"{'minutes': 2, 'seconds': 32}",3,"{'minutes': 12, 'seconds': 6}",68,252600142,25260014218,Troy,Sun Belt,4,True,3,"{'minutes': 14, 'seconds': 38}",71,3,2005
18,Troy,Sun Belt,PUNT RETURN TD,{},3,"{'minutes': 12, 'seconds': 6}",100,252600142,25260014219,Missouri,Big 12,1,True,3,"{'minutes': 12, 'seconds': 6}",97,73,2005
19,Missouri,Big 12,RUSHING TD,"{'minutes': 3, 'seconds': 7}",3,"{'minutes': 8, 'seconds': 59}",0,252600142,25260014220,Troy,Sun Belt,8,True,3,"{'minutes': 12, 'seconds': 6}",80,80,2005
20,Troy,Sun Belt,FG GOOD,"{'minutes': 2, 'seconds': 18}",3,"{'minutes': 6, 'seconds': 41}",84,252600142,25260014221,Missouri,Big 12,9,True,3,"{'minutes': 8, 'seconds': 59}",35,49,2005
21,Missouri,Big 12,PUNT,{'minutes': 3},3,"{'minutes': 3, 'seconds': 41}",50,252600142,25260014222,Troy,Sun Belt,7,False,3,"{'minutes': 6, 'seconds': 41}",65,15,2005
22,Troy,Sun Belt,RUSHING TD,"{'minutes': 1, 'seconds': 51}",3,"{'minutes': 1, 'seconds': 50}",100,252600142,25260014223,Missouri,Big 12,8,True,3,"{'minutes': 3, 'seconds': 41}",15,85,2005
23,Missouri,Big 12,PUNT,"{'minutes': 2, 'seconds': 55}",4,"{'minutes': 14, 'seconds': 32}",50,252600142,25260014224,Troy,Sun Belt,6,False,3,"{'minutes': 1, 'seconds': 50}",68,18,2005
24,Troy,Sun Belt,PUNT,"{'minutes': 3, 'seconds': 30}",4,"{'minutes': 11, 'seconds': 2}",34,252600142,25260014225,Missouri,Big 12,5,False,4,"{'minutes': 14, 'seconds': 32}",16,18,2005
25,Missouri,Big 12,PUNT,"{'minutes': 1, 'seconds': 16}",4,"{'minutes': 9, 'seconds': 46}",56,252600142,25260014226,Troy,Sun Belt,6,False,4,"{'minutes': 11, 'seconds': 2}",69,13,2005
