,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Tulane,Conference USA,Uncategorized,{},0,{},-13,252602655,25260265500,Mississippi State,SEC,1,False,0,{},65,-13,2005
1,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 1}",1,"{'minutes': 13, 'seconds': 59}",13,252602655,25260265501,Tulane,Conference USA,3,False,0,{},8,5,2005
2,Tulane,Conference USA,PUNT,"{'minutes': 1, 'seconds': 32}",1,"{'minutes': 12, 'seconds': 27}",55,252602655,25260265502,Mississippi State,SEC,3,False,1,"{'minutes': 13, 'seconds': 59}",54,-1,2005
3,Mississippi State,SEC,PUNT,"{'minutes': 4, 'seconds': 11}",1,"{'minutes': 8, 'seconds': 16}",58,252602655,25260265503,Tulane,Conference USA,9,False,1,"{'minutes': 12, 'seconds': 27}",24,34,2005
4,Tulane,Conference USA,PUNT,"{'minutes': 2, 'seconds': 44}",1,"{'minutes': 5, 'seconds': 32}",70,252602655,25260265504,Mississippi State,SEC,5,False,1,"{'minutes': 8, 'seconds': 16}",88,18,2005
5,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 7}",1,"{'minutes': 3, 'seconds': 25}",37,252602655,25260265505,Tulane,Conference USA,4,False,1,"{'minutes': 5, 'seconds': 32}",26,11,2005
6,Tulane,Conference USA,PUNT,{'minutes': 2},1,"{'minutes': 1, 'seconds': 25}",56,252602655,25260265506,Mississippi State,SEC,3,False,1,"{'minutes': 3, 'seconds': 25}",64,8,2005
7,Mississippi State,SEC,PUNT,"{'minutes': 3, 'seconds': 58}",2,"{'minutes': 12, 'seconds': 27}",33,252602655,25260265507,Tulane,Conference USA,7,False,1,"{'minutes': 1, 'seconds': 25}",31,17,2005
8,Tulane,Conference USA,PUNT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 10, 'seconds': 56}",64,252602655,25260265508,Mississippi State,SEC,3,False,2,"{'minutes': 12, 'seconds': 27}",67,3,2005
9,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 48}",2,"{'minutes': 9, 'seconds': 8}",16,252602655,25260265509,Tulane,Conference USA,4,False,2,"{'minutes': 10, 'seconds': 56}",13,3,2005
10,Tulane,Conference USA,INT,{'seconds': 6},2,"{'minutes': 9, 'seconds': 2}",64,252602655,25260265510,Mississippi State,SEC,1,False,2,"{'minutes': 9, 'seconds': 8}",64,0,2005
11,Mississippi State,SEC,FUMBLE,"{'minutes': 2, 'seconds': 52}",2,"{'minutes': 6, 'seconds': 10}",79,252602655,25260265511,Tulane,Conference USA,5,False,2,"{'minutes': 9, 'seconds': 2}",62,17,2005
12,Tulane,Conference USA,PUNT,"{'minutes': 1, 'seconds': 39}",2,"{'minutes': 4, 'seconds': 31}",76,252602655,25260265512,Mississippi State,SEC,3,False,2,"{'minutes': 6, 'seconds': 10}",79,3,2005
13,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 53}",2,"{'minutes': 2, 'seconds': 38}",35,252602655,25260265513,Tulane,Conference USA,5,False,2,"{'minutes': 4, 'seconds': 31}",16,3,2005
14,Tulane,Conference USA,PUNT,{'seconds': 58},2,"{'minutes': 1, 'seconds': 40}",62,252602655,25260265514,Mississippi State,SEC,3,False,2,"{'minutes': 2, 'seconds': 38}",69,7,2005
15,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 40}",2,{},31,252602655,25260265515,Tulane,Conference USA,5,False,2,"{'minutes': 1, 'seconds': 40}",16,15,2005
