,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Tulsa,Conference USA,Uncategorized,{'seconds': 11},1,"{'minutes': 14, 'seconds': 39}",67,252440202,25244020201,Minnesota,Big Ten,0,False,1,"{'minutes': 14, 'seconds': 50}",67,0,2005
1,Minnesota,Big Ten,Uncategorized,"{'minutes': 3, 'seconds': 58}",1,"{'minutes': 10, 'seconds': 41}",21,252440202,25244020202,Tulsa,Conference USA,0,False,1,"{'minutes': 14, 'seconds': 39}",21,0,2005
2,Tulsa,Conference USA,Uncategorized,"{'minutes': 5, 'seconds': 38}",1,"{'minutes': 5, 'seconds': 3}",81,252440202,25244020203,Minnesota,Big Ten,0,False,1,"{'minutes': 10, 'seconds': 41}",81,0,2005
3,Minnesota,Big Ten,Uncategorized,"{'minutes': 3, 'seconds': 19}",1,"{'minutes': 1, 'seconds': 44}",25,252440202,25244020204,Tulsa,Conference USA,0,False,1,"{'minutes': 5, 'seconds': 3}",25,0,2005
4,Tulsa,Conference USA,Uncategorized,{'seconds': 18},1,"{'minutes': 1, 'seconds': 26}",73,252440202,25244020205,Minnesota,Big Ten,0,False,1,"{'minutes': 1, 'seconds': 44}",73,0,2005
5,Minnesota,Big Ten,Uncategorized,"{'minutes': 1, 'seconds': 26}",1,{},18,252440202,25244020206,Tulsa,Conference USA,0,False,1,"{'minutes': 1, 'seconds': 26}",18,0,2005
6,Minnesota,Big Ten,Uncategorized,{'seconds': 28},1,{},55,252440202,25244020208,Tulsa,Conference USA,0,False,1,{'seconds': 28},55,0,2005
7,Tulsa,Conference USA,Uncategorized,"{'minutes': 1, 'seconds': 52}",2,"{'minutes': 10, 'seconds': 33}",78,252440202,25244020209,Minnesota,Big Ten,0,False,2,"{'minutes': 12, 'seconds': 25}",78,0,2005
8,Minnesota,Big Ten,Uncategorized,"{'minutes': 1, 'seconds': 45}",2,"{'minutes': 8, 'seconds': 48}",5,252440202,25244020210,Tulsa,Conference USA,0,False,2,"{'minutes': 10, 'seconds': 33}",5,0,2005
9,Tulsa,Conference USA,Uncategorized,"{'minutes': 2, 'seconds': 11}",2,"{'minutes': 6, 'seconds': 37}",45,252440202,25244020211,Minnesota,Big Ten,0,False,2,"{'minutes': 8, 'seconds': 48}",45,0,2005
10,Minnesota,Big Ten,Uncategorized,"{'minutes': 1, 'seconds': 33}",2,"{'minutes': 5, 'seconds': 4}",38,252440202,25244020212,Tulsa,Conference USA,0,False,2,"{'minutes': 6, 'seconds': 37}",38,0,2005
11,Tulsa,Conference USA,Uncategorized,"{'minutes': 2, 'seconds': 39}",2,"{'minutes': 2, 'seconds': 25}",46,252440202,25244020213,Minnesota,Big Ten,0,False,2,"{'minutes': 5, 'seconds': 4}",46,0,2005
12,Minnesota,Big Ten,Uncategorized,"{'minutes': 1, 'seconds': 34}",2,{'seconds': 51},1,252440202,25244020214,Tulsa,Conference USA,0,False,2,"{'minutes': 2, 'seconds': 25}",1,0,2005
13,Tulsa,Conference USA,Uncategorized,{'seconds': 51},2,{},29,252440202,25244020215,Minnesota,Big Ten,0,False,2,{'seconds': 51},29,0,2005
14,Minnesota,Big Ten,Uncategorized,"{'minutes': 3, 'seconds': 12}",3,"{'minutes': 11, 'seconds': 43}",30,252440202,25244020217,Tulsa,Conference USA,0,False,3,"{'minutes': 14, 'seconds': 55}",30,0,2005
15,Tulsa,Conference USA,Uncategorized,"{'minutes': 2, 'seconds': 30}",3,"{'minutes': 9, 'seconds': 13}",80,252440202,25244020218,Minnesota,Big Ten,0,False,3,"{'minutes': 11, 'seconds': 43}",80,0,2005
16,Minnesota,Big Ten,Uncategorized,{'seconds': 32},3,"{'minutes': 8, 'seconds': 41}",18,252440202,25244020219,Tulsa,Conference USA,0,False,3,"{'minutes': 9, 'seconds': 13}",18,0,2005
17,Tulsa,Conference USA,Uncategorized,"{'minutes': 1, 'seconds': 21}",3,"{'minutes': 7, 'seconds': 20}",45,252440202,25244020220,Minnesota,Big Ten,0,False,3,"{'minutes': 8, 'seconds': 41}",45,0,2005
18,Minnesota,Big Ten,Uncategorized,"{'minutes': 1, 'seconds': 26}",3,"{'minutes': 5, 'seconds': 54}",24,252440202,25244020221,Tulsa,Conference USA,0,False,3,"{'minutes': 7, 'seconds': 20}",24,0,2005
