,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,UCLA,Pac-10,PUNT,"{'minutes': 1, 'seconds': 46}",1,"{'minutes': 13, 'seconds': 11}",25,252460021,25246002101,San Diego State,Mountain West,4,False,1,"{'minutes': 14, 'seconds': 57}",11,14,2005
1,San Diego State,Mountain West,RUSHING TD,{'seconds': 10},1,"{'minutes': 13, 'seconds': 1}",0,252460021,25246002102,UCLA,Pac-10,1,True,1,"{'minutes': 13, 'seconds': 11}",63,63,2005
2,UCLA,Pac-10,PUNT,"{'minutes': 1, 'seconds': 33}",1,"{'minutes': 11, 'seconds': 28}",29,252460021,25246002103,San Diego State,Mountain West,3,False,1,"{'minutes': 13, 'seconds': 1}",20,9,2005
3,San Diego State,Mountain West,FG MISSED,"{'minutes': 3, 'seconds': 39}",1,"{'minutes': 7, 'seconds': 49}",32,252460021,25246002104,UCLA,Pac-10,7,False,1,"{'minutes': 11, 'seconds': 28}",79,32,2005
4,UCLA,Pac-10,RUSHING TD,"{'minutes': 6, 'seconds': 44}",1,"{'minutes': 1, 'seconds': 5}",100,252460021,25246002105,San Diego State,Mountain West,15,True,1,"{'minutes': 7, 'seconds': 49}",29,71,2005
5,San Diego State,Mountain West,RUSHING TD,"{'minutes': 6, 'seconds': 16}",2,"{'minutes': 9, 'seconds': 44}",0,252460021,25246002106,UCLA,Pac-10,15,True,1,"{'minutes': 1, 'seconds': 5}",80,80,2005
6,UCLA,Pac-10,PUNT,"{'minutes': 2, 'seconds': 7}",2,"{'minutes': 7, 'seconds': 37}",26,252460021,25246002107,San Diego State,Mountain West,3,True,2,"{'minutes': 9, 'seconds': 44}",17,9,2005
7,San Diego State,Mountain West,PUNT RETURN TD,{},2,"{'minutes': 7, 'seconds': 37}",0,252460021,25246002108,UCLA,Pac-10,1,True,2,"{'minutes': 7, 'seconds': 37}",3,72,2005
8,UCLA,Pac-10,INT,"{'minutes': 1, 'seconds': 14}",2,"{'minutes': 6, 'seconds': 23}",25,252460021,25246002109,San Diego State,Mountain West,3,False,2,"{'minutes': 7, 'seconds': 37}",20,5,2005
9,San Diego State,Mountain West,FG GOOD,"{'minutes': 2, 'seconds': 6}",2,"{'minutes': 4, 'seconds': 17}",5,252460021,25246002110,UCLA,Pac-10,4,True,2,"{'minutes': 6, 'seconds': 23}",11,15,2005
10,UCLA,Pac-10,INT,"{'minutes': 3, 'seconds': 29}",2,{'seconds': 48},93,252460021,25246002111,San Diego State,Mountain West,11,False,2,"{'minutes': 4, 'seconds': 17}",20,73,2005
11,San Diego State,Mountain West,END OF HALF,{'seconds': 48},2,{},62,252460021,25246002112,UCLA,Pac-10,2,False,2,{'seconds': 48},68,6,2005
12,San Diego State,Mountain West,RUSHING TD,"{'minutes': 3, 'seconds': 47}",3,"{'minutes': 11, 'seconds': 13}",0,252460021,25246002113,UCLA,Pac-10,8,True,3,{'minutes': 15},74,74,2005
13,UCLA,Pac-10,PASSING TD,"{'minutes': 3, 'seconds': 13}",3,{'minutes': 8},100,252460021,25246002114,San Diego State,Mountain West,9,True,3,"{'minutes': 11, 'seconds': 13}",20,80,2005
14,San Diego State,Mountain West,RUSHING TD,"{'minutes': 1, 'seconds': 9}",3,"{'minutes': 6, 'seconds': 51}",0,252460021,25246002115,UCLA,Pac-10,3,True,3,{'minutes': 8},27,27,2005
15,UCLA,Pac-10,PUNT,"{'minutes': 3, 'seconds': 18}",3,"{'minutes': 3, 'seconds': 33}",22,252460021,25246002116,San Diego State,Mountain West,5,False,3,"{'minutes': 6, 'seconds': 51}",16,6,2005
16,San Diego State,Mountain West,FG GOOD,"{'minutes': 1, 'seconds': 32}",3,"{'minutes': 2, 'seconds': 1}",31,252460021,25246002117,UCLA,Pac-10,4,True,3,"{'minutes': 3, 'seconds': 33}",30,-1,2005
