,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
0,Navy,FBS Independents,Uncategorized,{},0.0,{},-11.0,262522426.0,26252242600,UMass,,5.0,False,2006,0.0,{},79.0,-11.0
1,Navy,FBS Independents,RUSHING TD,"{'minutes': 3, 'seconds': 15}",1.0,"{'minutes': 11, 'seconds': 35}",0.0,262522426.0,26252242601,UMass,,8.0,True,2006,0.0,{},19.0,79.0
2,UMass,,RUSHING TD,"{'minutes': 3, 'seconds': 17}",1.0,"{'minutes': 8, 'seconds': 18}",100.0,262522426.0,26252242602,Navy,FBS Independents,9.0,True,2006,1.0,"{'minutes': 11, 'seconds': 35}",26.0,74.0
3,Navy,FBS Independents,PUNT,"{'minutes': 3, 'seconds': 7}",1.0,"{'minutes': 5, 'seconds': 11}",62.0,262522426.0,26252242603,UMass,,5.0,False,2006,1.0,"{'minutes': 8, 'seconds': 18}",79.0,17.0
4,UMass,,INT,{'seconds': 16},1.0,"{'minutes': 4, 'seconds': 55}",53.0,262522426.0,26252242604,Navy,FBS Independents,0.0,False,2006,1.0,"{'minutes': 5, 'seconds': 11}",31.0,0.0
5,Navy,FBS Independents,PASSING TD,"{'minutes': 2, 'seconds': 33}",1.0,"{'minutes': 2, 'seconds': 22}",0.0,262522426.0,26252242605,UMass,,5.0,True,2006,1.0,"{'minutes': 4, 'seconds': 55}",47.0,47.0
6,UMass,,PUNT,"{'minutes': 1, 'seconds': 24}",1.0,{'seconds': 58},18.0,262522426.0,26252242606,Navy,FBS Independents,3.0,False,2006,1.0,"{'minutes': 2, 'seconds': 22}",19.0,-1.0
7,Navy,FBS Independents,PUNT,"{'minutes': 2, 'seconds': 5}",2.0,"{'minutes': 13, 'seconds': 53}",50.0,262522426.0,26252242607,UMass,,3.0,False,2006,1.0,{'seconds': 58},57.0,7.0
8,UMass,,PUNT,"{'minutes': 2, 'seconds': 4}",2.0,"{'minutes': 11, 'seconds': 49}",27.0,262522426.0,26252242608,Navy,FBS Independents,3.0,False,2006,2.0,"{'minutes': 13, 'seconds': 53}",20.0,7.0
9,Navy,FBS Independents,PUNT,"{'minutes': 2, 'seconds': 46}",2.0,"{'minutes': 9, 'seconds': 3}",53.0,262522426.0,26252242609,UMass,,3.0,False,2006,2.0,"{'minutes': 11, 'seconds': 49}",61.0,8.0
10,UMass,,RUSHING TD,"{'minutes': 3, 'seconds': 4}",2.0,"{'minutes': 5, 'seconds': 59}",100.0,262522426.0,26252242610,Navy,FBS Independents,6.0,True,2006,2.0,"{'minutes': 9, 'seconds': 3}",20.0,80.0
11,Navy,FBS Independents,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 35}",2.0,"{'minutes': 2, 'seconds': 24}",31.0,262522426.0,26252242611,UMass,,10.0,False,2006,2.0,"{'minutes': 5, 'seconds': 59}",71.0,40.0
12,UMass,,FUMBLE,"{'minutes': 1, 'seconds': 22}",2.0,"{'minutes': 1, 'seconds': 2}",78.0,262522426.0,26252242612,Navy,FBS Independents,7.0,False,2006,2.0,"{'minutes': 2, 'seconds': 24}",31.0,47.0
13,Navy,FBS Independents,END OF HALF,"{'minutes': 1, 'seconds': 2}",2.0,{},75.0,262522426.0,26252242613,UMass,,1.0,False,2006,2.0,"{'minutes': 1, 'seconds': 2}",78.0,3.0
14,UMass,,PUNT,"{'minutes': 1, 'seconds': 42}",3.0,"{'minutes': 13, 'seconds': 14}",19.0,262522426.0,26252242614,Navy,FBS Independents,3.0,False,2006,3.0,"{'minutes': 14, 'seconds': 56}",20.0,-1.0
15,Navy,FBS Independents,INT,"{'minutes': 1, 'seconds': 48}",3.0,"{'minutes': 11, 'seconds': 26}",32.0,262522426.0,26252242615,UMass,,5.0,False,2006,3.0,"{'minutes': 13, 'seconds': 14}",54.0,22.0
16,UMass,,FUMBLE,{'seconds': 56},3.0,"{'minutes': 10, 'seconds': 30}",31.0,262522426.0,26252242616,Navy,FBS Independents,2.0,False,2006,3.0,"{'minutes': 11, 'seconds': 26}",26.0,5.0
17,Navy,FBS Independents,FG GOOD,"{'minutes': 5, 'seconds': 50}",3.0,"{'minutes': 4, 'seconds': 40}",20.0,262522426.0,26252242617,UMass,,10.0,True,2006,3.0,"{'minutes': 10, 'seconds': 30}",31.0,11.0
18,UMass,,RUSHING TD,"{'minutes': 1, 'seconds': 33}",3.0,"{'minutes': 3, 'seconds': 7}",100.0,262522426.0,26252242618,Navy,FBS Independents,3.0,True,2006,3.0,"{'minutes': 4, 'seconds': 40}",73.0,27.0
19,Navy,FBS Independents,PUNT,"{'minutes': 1, 'seconds': 22}",3.0,"{'minutes': 1, 'seconds': 45}",67.0,262522426.0,26252242619,UMass,,3.0,False,2006,3.0,"{'minutes': 3, 'seconds': 7}",75.0,8.0
20,UMass,,PUNT,"{'minutes': 2, 'seconds': 35}",4.0,"{'minutes': 14, 'seconds': 10}",24.0,262522426.0,26252242620,Navy,FBS Independents,6.0,False,2006,3.0,"{'minutes': 1, 'seconds': 45}",7.0,17.0
21,Navy,FBS Independents,INT,"{'minutes': 2, 'seconds': 44}",4.0,"{'minutes': 11, 'seconds': 26}",32.0,262522426.0,26252242621,UMass,,6.0,False,2006,4.0,"{'minutes': 14, 'seconds': 10}",56.0,24.0
22,UMass,,FUMBLE,"{'minutes': 3, 'seconds': 16}",4.0,"{'minutes': 8, 'seconds': 10}",23.0,262522426.0,26252242622,Navy,FBS Independents,6.0,False,2006,4.0,"{'minutes': 11, 'seconds': 26}",3.0,20.0
23,Navy,FBS Independents,FG GOOD,"{'minutes': 2, 'seconds': 25}",4.0,"{'minutes': 5, 'seconds': 45}",19.0,262522426.0,26252242623,UMass,,4.0,True,2006,4.0,"{'minutes': 8, 'seconds': 10}",23.0,4.0
24,UMass,,PUNT,"{'minutes': 1, 'seconds': 48}",4.0,"{'minutes': 3, 'seconds': 57}",29.0,262522426.0,26252242624,Navy,FBS Independents,3.0,False,2006,4.0,"{'minutes': 5, 'seconds': 45}",27.0,2.0
