,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,UNLV,Mountain West,FG GOOD,"{'minutes': 5, 'seconds': 17}",1,"{'minutes': 9, 'seconds': 43}",81,252480167,25248016701,New Mexico,Mountain West,13,True,1,{'minutes': 15},20,61,2005
1,New Mexico,Mountain West,PUNT,{'seconds': 46},1,"{'minutes': 8, 'seconds': 57}",55,252480167,25248016702,UNLV,Mountain West,3,False,1,"{'minutes': 9, 'seconds': 43}",60,5,2005
2,UNLV,Mountain West,PASSING TD,"{'minutes': 1, 'seconds': 49}",1,"{'minutes': 7, 'seconds': 8}",100,252480167,25248016703,New Mexico,Mountain West,4,True,1,"{'minutes': 8, 'seconds': 57}",20,80,2005
3,New Mexico,Mountain West,PUNT,"{'minutes': 1, 'seconds': 47}",1,"{'minutes': 5, 'seconds': 21}",76,252480167,25248016704,UNLV,Mountain West,3,False,1,"{'minutes': 7, 'seconds': 8}",72,-4,2005
4,UNLV,Mountain West,PASSING TD,"{'minutes': 2, 'seconds': 34}",1,"{'minutes': 2, 'seconds': 47}",100,252480167,25248016705,New Mexico,Mountain West,5,True,1,"{'minutes': 5, 'seconds': 21}",40,60,2005
5,New Mexico,Mountain West,PUNT,"{'minutes': 3, 'seconds': 28}",2,"{'minutes': 14, 'seconds': 19}",61,252480167,25248016706,UNLV,Mountain West,6,False,1,"{'minutes': 2, 'seconds': 47}",80,19,2005
6,UNLV,Mountain West,PUNT,"{'minutes': 3, 'seconds': 51}",2,"{'minutes': 10, 'seconds': 28}",49,252480167,25248016707,New Mexico,Mountain West,6,False,2,"{'minutes': 14, 'seconds': 19}",31,18,2005
7,New Mexico,Mountain West,PASSING TD,"{'minutes': 4, 'seconds': 48}",2,"{'minutes': 5, 'seconds': 40}",0,252480167,25248016708,UNLV,Mountain West,9,True,2,"{'minutes': 10, 'seconds': 28}",80,80,2005
8,UNLV,Mountain West,PUNT,"{'minutes': 1, 'seconds': 4}",2,"{'minutes': 4, 'seconds': 36}",32,252480167,25248016709,New Mexico,Mountain West,3,False,2,"{'minutes': 5, 'seconds': 40}",29,3,2005
9,New Mexico,Mountain West,PUNT,"{'minutes': 1, 'seconds': 48}",2,"{'minutes': 2, 'seconds': 48}",78,252480167,25248016710,UNLV,Mountain West,3,False,2,"{'minutes': 4, 'seconds': 36}",77,-1,2005
10,UNLV,Mountain West,PUNT,"{'minutes': 2, 'seconds': 17}",2,{'seconds': 31},51,252480167,25248016711,New Mexico,Mountain West,8,False,2,"{'minutes': 2, 'seconds': 48}",27,24,2005
11,New Mexico,Mountain West,END OF HALF,{'seconds': 31},2,{},97,252480167,25248016712,UNLV,Mountain West,1,False,2,{'seconds': 31},96,-1,2005
12,New Mexico,Mountain West,PUNT,"{'minutes': 2, 'seconds': 17}",3,"{'minutes': 12, 'seconds': 39}",77,252480167,25248016713,UNLV,Mountain West,3,False,3,"{'minutes': 14, 'seconds': 56}",84,7,2005
13,UNLV,Mountain West,PUNT,"{'minutes': 1, 'seconds': 40}",3,"{'minutes': 10, 'seconds': 59}",30,252480167,25248016714,New Mexico,Mountain West,3,False,3,"{'minutes': 12, 'seconds': 39}",34,-4,2005
14,New Mexico,Mountain West,FG GOOD,"{'minutes': 4, 'seconds': 21}",3,"{'minutes': 6, 'seconds': 38}",14,252480167,25248016715,UNLV,Mountain West,11,True,3,"{'minutes': 10, 'seconds': 59}",61,47,2005
15,UNLV,Mountain West,PUNT,"{'minutes': 3, 'seconds': 24}",3,"{'minutes': 3, 'seconds': 14}",33,252480167,25248016716,New Mexico,Mountain West,9,False,3,"{'minutes': 6, 'seconds': 38}",20,13,2005
16,New Mexico,Mountain West,PUNT,"{'minutes': 1, 'seconds': 39}",3,"{'minutes': 1, 'seconds': 35}",63,252480167,25248016717,UNLV,Mountain West,3,False,3,"{'minutes': 3, 'seconds': 14}",68,5,2005
17,UNLV,Mountain West,RUSHING TD,"{'minutes': 3, 'seconds': 11}",4,"{'minutes': 13, 'seconds': 24}",100,252480167,25248016718,New Mexico,Mountain West,7,True,3,"{'minutes': 1, 'seconds': 35}",25,75,2005
18,New Mexico,Mountain West,RUSHING TD,"{'minutes': 2, 'seconds': 40}",4,"{'minutes': 10, 'seconds': 44}",0,252480167,25248016719,UNLV,Mountain West,7,True,4,"{'minutes': 13, 'seconds': 24}",80,80,2005
