,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,USC,Pac-10,INT,"{'minutes': 4, 'seconds': 25}",1,"{'minutes': 10, 'seconds': 32}",62,252460062,25246006201,Hawai'i,Western Athletic,6,True,1,"{'minutes': 14, 'seconds': 57}",19,43,2005
1,Hawai'i,Western Athletic,INT RETURN TOUCH,{},1,"{'minutes': 10, 'seconds': 32}",0,252460062,25246006202,USC,Pac-10,1,True,1,"{'minutes': 10, 'seconds': 32}",3,64,2005
2,USC,Pac-10,FG GOOD,"{'minutes': 9, 'seconds': 12}",1,"{'minutes': 1, 'seconds': 20}",87,252460062,25246006203,Hawai'i,Western Athletic,16,True,1,"{'minutes': 10, 'seconds': 32}",20,67,2005
3,Hawai'i,Western Athletic,PASSING TD,"{'minutes': 2, 'seconds': 34}",2,"{'minutes': 13, 'seconds': 41}",0,252460062,25246006204,USC,Pac-10,8,True,1,"{'minutes': 1, 'seconds': 20}",76,76,2005
4,USC,Pac-10,PUNT,"{'minutes': 1, 'seconds': 40}",2,"{'minutes': 12, 'seconds': 1}",46,252460062,25246006205,Hawai'i,Western Athletic,5,False,2,"{'minutes': 13, 'seconds': 41}",24,22,2005
5,Hawai'i,Western Athletic,RUSHING TD,"{'minutes': 4, 'seconds': 40}",2,"{'minutes': 7, 'seconds': 21}",0,252460062,25246006206,USC,Pac-10,10,True,2,"{'minutes': 12, 'seconds': 1}",83,83,2005
6,USC,Pac-10,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 31}",2,"{'minutes': 3, 'seconds': 50}",55,252460062,25246006207,Hawai'i,Western Athletic,7,False,2,"{'minutes': 7, 'seconds': 21}",17,38,2005
7,Hawai'i,Western Athletic,FG MISSED,"{'minutes': 2, 'seconds': 54}",2,{'seconds': 56},26,252460062,25246006208,USC,Pac-10,9,False,2,"{'minutes': 3, 'seconds': 50}",55,29,2005
8,USC,Pac-10,END OF HALF,{'seconds': 56},2,{},26,252460062,25246006209,Hawai'i,Western Athletic,3,False,2,{'seconds': 56},26,0,2005
9,Hawai'i,Western Athletic,INT,"{'minutes': 1, 'seconds': 35}",3,"{'minutes': 13, 'seconds': 8}",12,252460062,25246006210,USC,Pac-10,5,False,3,"{'minutes': 14, 'seconds': 43}",23,31,2005
10,USC,Pac-10,PUNT,"{'minutes': 1, 'seconds': 18}",3,"{'minutes': 11, 'seconds': 50}",29,252460062,25246006211,Hawai'i,Western Athletic,3,False,3,"{'minutes': 13, 'seconds': 8}",20,9,2005
11,Hawai'i,Western Athletic,PASSING TD,"{'minutes': 2, 'seconds': 23}",3,"{'minutes': 9, 'seconds': 27}",0,252460062,25246006212,USC,Pac-10,6,True,3,"{'minutes': 11, 'seconds': 50}",69,69,2005
12,USC,Pac-10,PASSING TD,{'seconds': 39},3,"{'minutes': 8, 'seconds': 48}",100,252460062,25246006213,Hawai'i,Western Athletic,2,True,3,"{'minutes': 9, 'seconds': 27}",30,70,2005
13,Hawai'i,Western Athletic,PASSING TD,{'seconds': 56},3,"{'minutes': 7, 'seconds': 52}",0,252460062,25246006214,USC,Pac-10,2,True,3,"{'minutes': 8, 'seconds': 48}",66,66,2005
14,USC,Pac-10,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 36}",3,"{'minutes': 4, 'seconds': 16}",69,252460062,25246006215,Hawai'i,Western Athletic,11,False,3,"{'minutes': 7, 'seconds': 52}",19,50,2005
15,Hawai'i,Western Athletic,RUSHING TD,"{'minutes': 1, 'seconds': 59}",3,"{'minutes': 2, 'seconds': 17}",0,252460062,25246006216,USC,Pac-10,4,True,3,"{'minutes': 4, 'seconds': 16}",69,69,2005
16,Hawai'i,Western Athletic,FUMBLE RETURN TD,{'seconds': 5},3,"{'minutes': 2, 'seconds': 12}",0,252460062,25246006218,USC,Pac-10,1,True,3,"{'minutes': 2, 'seconds': 17}",3,0,2005
17,USC,Pac-10,FUMBLE,{'seconds': 50},3,"{'minutes': 1, 'seconds': 22}",36,252460062,25246006219,Hawai'i,Western Athletic,2,False,3,"{'minutes': 2, 'seconds': 12}",22,14,2005
18,Hawai'i,Western Athletic,PASSING TD,"{'minutes': 3, 'seconds': 30}",4,"{'minutes': 12, 'seconds': 52}",0,252460062,25246006220,USC,Pac-10,9,True,3,"{'minutes': 1, 'seconds': 22}",36,36,2005
19,USC,Pac-10,PUNT,"{'minutes': 1, 'seconds': 19}",4,"{'minutes': 11, 'seconds': 33}",41,252460062,25246006221,Hawai'i,Western Athletic,4,False,4,"{'minutes': 12, 'seconds': 52}",20,21,2005
