,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,season,start_period,start_time,start_yardline,yards
0,South Alabama,Sun Belt,Uncategorized,{},0.0,{},0.0,322450006.0,32245000600,UT San Antonio,Western Athletic,0.0,False,2012,0.0,{},0.0,0.0
1,UT San Antonio,Western Athletic,RUSHING TD,"{'minutes': 2, 'seconds': 40}",1.0,"{'minutes': 12, 'seconds': 20}",100.0,322450006.0,32245000601,South Alabama,Sun Belt,8.0,False,2012,1.0,{'minutes': 15},25.0,75.0
2,South Alabama,Sun Belt,PUNT,{},1.0,"{'minutes': 12, 'seconds': 20}",86.0,322450006.0,32245000602,UT San Antonio,Western Athletic,3.0,False,2012,1.0,"{'minutes': 12, 'seconds': 20}",77.0,-9.0
3,Texas A&M-Commerce,,FG GOOD,"{'minutes': 3, 'seconds': 46}",1.0,"{'minutes': 11, 'seconds': 14}",83.0,322522636.0,32252263601,UT San Antonio,Western Athletic,9.0,True,2012,1.0,{'minutes': 15},38.0,45.0
4,UT San Antonio,Western Athletic,PUNT,{},1.0,"{'minutes': 11, 'seconds': 14}",66.0,322522636.0,32252263602,Texas A&M-Commerce,,3.0,False,2012,1.0,"{'minutes': 11, 'seconds': 14}",69.0,3.0
5,Texas A&M-Commerce,,PASSING TD,"{'minutes': 8, 'seconds': 26}",1.0,"{'minutes': 2, 'seconds': 48}",100.0,322522636.0,32252263603,UT San Antonio,Western Athletic,13.0,True,2012,1.0,"{'minutes': 11, 'seconds': 14}",29.0,71.0
6,UT San Antonio,Western Athletic,FG GOOD,"{'minutes': 7, 'seconds': 4}",2.0,"{'minutes': 10, 'seconds': 44}",4.0,322522636.0,32252263604,Texas A&M-Commerce,,14.0,True,2012,1.0,"{'minutes': 2, 'seconds': 48}",77.0,73.0
7,Texas A&M-Commerce,,PUNT,"{'minutes': 1, 'seconds': 22}",2.0,"{'minutes': 9, 'seconds': 22}",15.0,322522636.0,32252263605,UT San Antonio,Western Athletic,3.0,False,2012,2.0,"{'minutes': 10, 'seconds': 44}",18.0,-3.0
8,UT San Antonio,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 44}",2.0,"{'minutes': 7, 'seconds': 38}",66.0,322522636.0,32252263606,Texas A&M-Commerce,,3.0,False,2012,2.0,"{'minutes': 9, 'seconds': 22}",59.0,-7.0
9,Texas A&M-Commerce,,RUSHING TD,"{'minutes': 2, 'seconds': 59}",2.0,"{'minutes': 4, 'seconds': 39}",50.0,322522636.0,32252263607,UT San Antonio,Western Athletic,7.0,True,2012,2.0,"{'minutes': 7, 'seconds': 38}",29.0,71.0
10,UT San Antonio,Western Athletic,INT,{'seconds': 48},2.0,"{'minutes': 3, 'seconds': 51}",81.0,322522636.0,32252263608,Texas A&M-Commerce,,6.0,False,2012,2.0,"{'minutes': 4, 'seconds': 39}",98.0,17.0
11,Texas A&M-Commerce,,RUSHING TD,"{'minutes': 2, 'seconds': 55}",2.0,{'seconds': 56},100.0,322522636.0,32252263609,UT San Antonio,Western Athletic,2.0,True,2012,2.0,"{'minutes': 3, 'seconds': 51}",93.0,7.0
12,UT San Antonio,Western Athletic,END OF HALF,{'seconds': 56},2.0,{},82.0,322522636.0,32252263610,Texas A&M-Commerce,,3.0,False,2012,2.0,{'seconds': 56},75.0,-7.0
13,UT San Antonio,Western Athletic,PUNT,{},3.0,{'minutes': 15},74.0,322522636.0,32252263611,Texas A&M-Commerce,,3.0,False,2012,3.0,{'minutes': 15},81.0,7.0
14,Texas A&M-Commerce,,FG GOOD,"{'minutes': 5, 'seconds': 46}",3.0,"{'minutes': 9, 'seconds': 14}",71.0,322522636.0,32252263612,UT San Antonio,Western Athletic,8.0,True,2012,3.0,{'minutes': 15},35.0,36.0
15,UT San Antonio,Western Athletic,PASSING TD,{'minutes': 2},3.0,"{'minutes': 7, 'seconds': 14}",0.0,322522636.0,32252263613,Texas A&M-Commerce,,5.0,True,2012,3.0,"{'minutes': 9, 'seconds': 14}",75.0,75.0
16,Texas A&M-Commerce,,PUNT,"{'minutes': 2, 'seconds': 41}",3.0,"{'minutes': 4, 'seconds': 33}",20.0,322522636.0,32252263614,UT San Antonio,Western Athletic,4.0,False,2012,3.0,"{'minutes': 7, 'seconds': 14}",12.0,8.0
17,UT San Antonio,Western Athletic,PASSING TD,"{'minutes': 4, 'seconds': 37}",4.0,"{'minutes': 14, 'seconds': 56}",0.0,322522636.0,32252263615,Texas A&M-Commerce,,9.0,True,2012,3.0,"{'minutes': 4, 'seconds': 33}",55.0,55.0
18,Texas A&M-Commerce,,FUMBLE,"{'minutes': 2, 'seconds': 27}",4.0,"{'minutes': 12, 'seconds': 29}",86.0,322522636.0,32252263616,UT San Antonio,Western Athletic,7.0,False,2012,4.0,"{'minutes': 14, 'seconds': 56}",13.0,73.0
19,UT San Antonio,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 1}",4.0,"{'minutes': 11, 'seconds': 28}",87.0,322522636.0,32252263617,Texas A&M-Commerce,,3.0,False,2012,4.0,"{'minutes': 12, 'seconds': 29}",86.0,-1.0
20,Texas A&M-Commerce,,PUNT,"{'minutes': 1, 'seconds': 39}",4.0,"{'minutes': 9, 'seconds': 49}",45.0,322522636.0,32252263618,UT San Antonio,Western Athletic,3.0,False,2012,4.0,"{'minutes': 11, 'seconds': 28}",45.0,0.0
21,UT San Antonio,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 43}",4.0,"{'minutes': 7, 'seconds': 6}",81.0,322522636.0,32252263619,Texas A&M-Commerce,,3.0,False,2012,4.0,"{'minutes': 9, 'seconds': 49}",80.0,-1.0
22,Texas A&M-Commerce,,PUNT,"{'minutes': 1, 'seconds': 41}",4.0,"{'minutes': 5, 'seconds': 25}",58.0,322522636.0,32252263620,UT San Antonio,Western Athletic,6.0,False,2012,4.0,"{'minutes': 7, 'seconds': 6}",50.0,8.0
23,UT San Antonio,Western Athletic,INT,"{'minutes': 2, 'seconds': 30}",4.0,"{'minutes': 2, 'seconds': 55}",72.0,322522636.0,32252263621,Texas A&M-Commerce,,3.0,False,2012,4.0,"{'minutes': 5, 'seconds': 25}",84.0,12.0
24,Texas A&M-Commerce,,END OF GAME,"{'minutes': 2, 'seconds': 55}",4.0,{},62.0,322522636.0,32252263622,UT San Antonio,Western Athletic,3.0,False,2012,4.0,"{'minutes': 2, 'seconds': 55}",62.0,0.0
25,Georgia State,,FG GOOD,"{'minutes': 4, 'seconds': 38}",1.0,"{'minutes': 10, 'seconds': 22}",9.0,322592247.0,32259224701,UT San Antonio,Western Athletic,11.0,True,2012,1.0,{'minutes': 15},88.0,79.0
26,UT San Antonio,Western Athletic,PASSING TD,{'seconds': 31},1.0,"{'minutes': 9, 'seconds': 51}",100.0,322592247.0,32259224702,Georgia State,,3.0,True,2012,1.0,"{'minutes': 10, 'seconds': 22}",21.0,79.0
27,Georgia State,,RUSHING TD,"{'minutes': 1, 'seconds': 50}",1.0,"{'minutes': 8, 'seconds': 1}",0.0,322592247.0,32259224703,UT San Antonio,Western Athletic,4.0,True,2012,1.0,"{'minutes': 9, 'seconds': 51}",16.0,16.0
28,UT San Antonio,Western Athletic,PUNT,{'seconds': 5},1.0,"{'minutes': 7, 'seconds': 56}",12.0,322592247.0,32259224704,Georgia State,,3.0,False,2012,1.0,"{'minutes': 8, 'seconds': 1}",9.0,3.0
29,Georgia State,,PASSING TD,"{'minutes': 6, 'seconds': 7}",1.0,"{'minutes': 1, 'seconds': 49}",0.0,322592247.0,32259224705,UT San Antonio,Western Athletic,9.0,True,2012,1.0,"{'minutes': 7, 'seconds': 56}",51.0,51.0
30,UT San Antonio,Western Athletic,FG MISSED,"{'minutes': 6, 'seconds': 1}",2.0,"{'minutes': 10, 'seconds': 42}",74.0,322592247.0,32259224706,Georgia State,,14.0,False,2012,1.0,"{'minutes': 1, 'seconds': 49}",25.0,49.0
31,Georgia State,,RUSHING TD,"{'minutes': 5, 'seconds': 15}",2.0,"{'minutes': 5, 'seconds': 27}",0.0,322592247.0,32259224707,UT San Antonio,Western Athletic,10.0,False,2012,2.0,"{'minutes': 10, 'seconds': 42}",74.0,74.0
32,UT San Antonio,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 16}",2.0,"{'minutes': 3, 'seconds': 11}",27.0,322592247.0,32259224708,Georgia State,,6.0,False,2012,2.0,"{'minutes': 5, 'seconds': 27}",23.0,4.0
33,Georgia State,,PUNT,{'seconds': 7},2.0,"{'minutes': 3, 'seconds': 4}",80.0,322592247.0,32259224709,UT San Antonio,Western Athletic,3.0,False,2012,2.0,"{'minutes': 3, 'seconds': 11}",78.0,-2.0
34,UT San Antonio,Western Athletic,INT,"{'minutes': 2, 'seconds': 21}",2.0,{'seconds': 43},39.0,322592247.0,32259224710,Georgia State,,3.0,False,2012,2.0,"{'minutes': 3, 'seconds': 4}",61.0,-22.0
35,Georgia State,,END OF HALF,{'seconds': 43},2.0,{},78.0,322592247.0,32259224711,UT San Antonio,Western Athletic,2.0,False,2012,2.0,{'seconds': 43},76.0,-2.0
36,UT San Antonio,Western Athletic,FUMBLE,"{'minutes': 1, 'seconds': 2}",3.0,"{'minutes': 13, 'seconds': 52}",69.0,322592247.0,32259224712,Georgia State,,3.0,False,2012,3.0,"{'minutes': 14, 'seconds': 54}",18.0,51.0
37,Georgia State,,PASSING TD,"{'minutes': 3, 'seconds': 38}",3.0,"{'minutes': 10, 'seconds': 14}",0.0,322592247.0,32259224713,UT San Antonio,Western Athletic,7.0,True,2012,3.0,"{'minutes': 13, 'seconds': 52}",69.0,69.0
38,UT San Antonio,Western Athletic,INT,{'seconds': 57},3.0,"{'minutes': 9, 'seconds': 17}",18.0,322592247.0,32259224714,Georgia State,,2.0,False,2012,3.0,"{'minutes': 10, 'seconds': 14}",22.0,-4.0
39,Georgia State,,RUSHING TD,"{'minutes': 2, 'seconds': 44}",3.0,"{'minutes': 6, 'seconds': 33}",0.0,322592247.0,32259224715,UT San Antonio,Western Athletic,5.0,True,2012,3.0,"{'minutes': 9, 'seconds': 17}",11.0,11.0
