,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,New Mexico State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 13, 'seconds': 20}",79,252460166,25246016601,UTEP,Conference USA,3,False,1,"{'minutes': 14, 'seconds': 55}",72,-7,2005
1,UTEP,Conference USA,PUNT,"{'minutes': 2, 'seconds': 14}",1,"{'minutes': 11, 'seconds': 6}",26,252460166,25246016602,New Mexico State,Western Athletic,3,False,1,"{'minutes': 13, 'seconds': 20}",36,-10,2005
2,New Mexico State,Western Athletic,PASSING TD,{'seconds': 49},1,"{'minutes': 10, 'seconds': 17}",0,252460166,25246016603,UTEP,Conference USA,3,True,1,"{'minutes': 11, 'seconds': 6}",25,25,2005
3,UTEP,Conference USA,PUNT,{'seconds': 59},1,"{'minutes': 9, 'seconds': 18}",13,252460166,25246016604,New Mexico State,Western Athletic,3,False,1,"{'minutes': 10, 'seconds': 17}",20,-7,2005
4,New Mexico State,Western Athletic,PASSING TD,"{'minutes': 2, 'seconds': 58}",1,"{'minutes': 6, 'seconds': 20}",0,252460166,25246016605,UTEP,Conference USA,8,True,1,"{'minutes': 9, 'seconds': 18}",55,55,2005
5,UTEP,Conference USA,INT,"{'minutes': 3, 'seconds': 5}",1,"{'minutes': 3, 'seconds': 15}",39,252460166,25246016606,New Mexico State,Western Athletic,1,False,1,"{'minutes': 6, 'seconds': 20}",27,39,2005
6,New Mexico State,Western Athletic,RUSHING TD,"{'minutes': 3, 'seconds': 59}",2,"{'minutes': 14, 'seconds': 9}",0,252460166,25246016607,UTEP,Conference USA,10,True,1,"{'minutes': 3, 'seconds': 15}",61,61,2005
7,UTEP,Conference USA,FUMBLE,{'seconds': 11},2,"{'minutes': 13, 'seconds': 58}",28,252460166,25246016608,New Mexico State,Western Athletic,2,False,2,"{'minutes': 14, 'seconds': 9}",20,8,2005
8,New Mexico State,Western Athletic,PASSING TD,{'seconds': 14},2,"{'minutes': 13, 'seconds': 44}",0,252460166,25246016609,UTEP,Conference USA,1,True,2,"{'minutes': 13, 'seconds': 58}",28,28,2005
9,UTEP,Conference USA,PUNT,"{'minutes': 2, 'seconds': 44}",2,{'minutes': 11},33,252460166,25246016610,New Mexico State,Western Athletic,5,False,2,"{'minutes': 13, 'seconds': 44}",12,21,2005
10,New Mexico State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 29}",2,"{'minutes': 9, 'seconds': 31}",90,252460166,25246016611,UTEP,Conference USA,4,False,2,{'minutes': 11},89,-1,2005
11,UTEP,Conference USA,INT,{'seconds': 12},2,"{'minutes': 9, 'seconds': 19}",63,252460166,25246016612,New Mexico State,Western Athletic,2,False,2,"{'minutes': 9, 'seconds': 31}",51,12,2005
12,New Mexico State,Western Athletic,FG GOOD,"{'minutes': 2, 'seconds': 15}",2,"{'minutes': 7, 'seconds': 4}",26,252460166,25246016613,UTEP,Conference USA,6,True,2,"{'minutes': 9, 'seconds': 19}",62,36,2005
13,UTEP,Conference USA,Uncategorized,"{'minutes': 4, 'seconds': 22}",2,"{'minutes': 2, 'seconds': 42}",44,252460166,25246016614,New Mexico State,Western Athletic,9,False,2,"{'minutes': 7, 'seconds': 4}",20,24,2005
14,New Mexico State,Western Athletic,FUMBLE,"{'minutes': 1, 'seconds': 29}",2,"{'minutes': 1, 'seconds': 13}",18,252460166,25246016615,UTEP,Conference USA,4,False,2,"{'minutes': 2, 'seconds': 42}",56,38,2005
15,UTEP,Conference USA,END OF HALF,"{'minutes': 1, 'seconds': 13}",2,{},65,252460166,25246016616,New Mexico State,Western Athletic,7,False,2,"{'minutes': 1, 'seconds': 13}",18,47,2005
16,UTEP,Conference USA,PUNT,"{'minutes': 1, 'seconds': 10}",3,"{'minutes': 13, 'seconds': 40}",47,252460166,25246016617,New Mexico State,Western Athletic,4,False,3,"{'minutes': 14, 'seconds': 50}",26,21,2005
17,New Mexico State,Western Athletic,PUNT,"{'minutes': 3, 'seconds': 34}",3,"{'minutes': 10, 'seconds': 6}",47,252460166,25246016618,UTEP,Conference USA,7,False,3,"{'minutes': 13, 'seconds': 40}",72,25,2005
18,UTEP,Conference USA,PUNT,"{'minutes': 1, 'seconds': 19}",3,"{'minutes': 8, 'seconds': 47}",23,252460166,25246016619,New Mexico State,Western Athletic,3,False,3,"{'minutes': 10, 'seconds': 6}",20,3,2005
19,New Mexico State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 24}",3,"{'minutes': 7, 'seconds': 23}",69,252460166,25246016620,UTEP,Conference USA,3,False,3,"{'minutes': 8, 'seconds': 47}",73,4,2005
20,UTEP,Conference USA,PUNT,"{'minutes': 1, 'seconds': 42}",3,"{'minutes': 5, 'seconds': 41}",14,252460166,25246016621,New Mexico State,Western Athletic,3,False,3,"{'minutes': 7, 'seconds': 23}",18,-4,2005
21,New Mexico State,Western Athletic,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 35}",3,"{'minutes': 4, 'seconds': 6}",45,252460166,25246016622,UTEP,Conference USA,4,False,3,"{'minutes': 5, 'seconds': 41}",53,8,2005
22,UTEP,Conference USA,TURNOVER ON DOWNS,{'seconds': 56},3,"{'minutes': 3, 'seconds': 10}",49,252460166,25246016623,New Mexico State,Western Athletic,4,False,3,"{'minutes': 4, 'seconds': 6}",45,4,2005
