,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Utah,Mountain West,PUNT,"{'minutes': 3, 'seconds': 34}",1,"{'minutes': 11, 'seconds': 22}",59,252530254,25253025401,Utah State,Western Athletic,6,False,1,"{'minutes': 14, 'seconds': 56}",79,20,2005
1,Utah State,Western Athletic,PUNT,"{'minutes': 2, 'seconds': 38}",1,"{'minutes': 8, 'seconds': 44}",40,252530254,25253025402,Utah,Mountain West,4,False,1,"{'minutes': 11, 'seconds': 22}",18,22,2005
2,Utah,Mountain West,INT,{'seconds': 24},1,"{'minutes': 8, 'seconds': 20}",35,252530254,25253025403,Utah State,Western Athletic,2,False,1,"{'minutes': 8, 'seconds': 44}",50,15,2005
3,Utah State,Western Athletic,FUMBLE,"{'minutes': 2, 'seconds': 33}",1,"{'minutes': 5, 'seconds': 47}",82,252530254,25253025404,Utah,Mountain West,7,False,1,"{'minutes': 8, 'seconds': 20}",8,74,2005
4,Utah,Mountain West,RUSHING TD,"{'minutes': 7, 'seconds': 2}",2,"{'minutes': 13, 'seconds': 45}",0,252530254,25253025405,Utah State,Western Athletic,15,True,1,"{'minutes': 5, 'seconds': 47}",82,82,2005
5,Utah State,Western Athletic,FG MISSED,"{'minutes': 5, 'seconds': 24}",2,"{'minutes': 8, 'seconds': 21}",89,252530254,25253025406,Utah,Mountain West,13,False,2,"{'minutes': 13, 'seconds': 45}",20,69,2005
6,Utah,Mountain West,PUNT,"{'minutes': 3, 'seconds': 23}",2,"{'minutes': 4, 'seconds': 58}",50,252530254,25253025407,Utah State,Western Athletic,6,False,2,"{'minutes': 8, 'seconds': 21}",80,30,2005
7,Utah State,Western Athletic,RUSHING TD,"{'minutes': 2, 'seconds': 1}",2,"{'minutes': 2, 'seconds': 57}",100,252530254,25253025408,Utah,Mountain West,6,True,2,"{'minutes': 4, 'seconds': 58}",21,79,2005
8,Utah,Mountain West,PUNT,"{'minutes': 1, 'seconds': 20}",2,"{'minutes': 1, 'seconds': 37}",93,252530254,25253025409,Utah State,Western Athletic,3,False,2,"{'minutes': 2, 'seconds': 57}",77,-16,2005
9,Utah State,Western Athletic,PASSING TD,{'seconds': 10},2,"{'minutes': 1, 'seconds': 27}",100,252530254,25253025410,Utah,Mountain West,1,True,2,"{'minutes': 1, 'seconds': 37}",70,30,2005
10,Utah,Mountain West,FG MISSED,"{'minutes': 1, 'seconds': 27}",2,{},32,252530254,25253025411,Utah State,Western Athletic,5,False,2,"{'minutes': 1, 'seconds': 27}",65,33,2005
11,Utah State,Western Athletic,END OF HALF,{},2,{},32,252530254,25253025412,Utah,Mountain West,1,False,2,{},32,0,2005
12,Utah State,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 23}",3,"{'minutes': 13, 'seconds': 29}",38,252530254,25253025413,Utah,Mountain West,3,False,3,"{'minutes': 14, 'seconds': 52}",34,4,2005
13,Utah State,Western Athletic,RUSHING TD,"{'minutes': 1, 'seconds': 21}",3,"{'minutes': 12, 'seconds': 8}",100,252530254,25253025415,Utah,Mountain West,3,True,3,"{'minutes': 13, 'seconds': 29}",83,17,2005
14,Utah,Mountain West,PUNT,"{'minutes': 1, 'seconds': 2}",3,"{'minutes': 11, 'seconds': 6}",48,252530254,25253025416,Utah State,Western Athletic,3,False,3,"{'minutes': 12, 'seconds': 8}",58,4,2005
15,Utah State,Western Athletic,PUNT,"{'minutes': 3, 'seconds': 15}",3,"{'minutes': 7, 'seconds': 51}",61,252530254,25253025417,Utah,Mountain West,7,False,3,"{'minutes': 11, 'seconds': 6}",16,45,2005
16,Utah,Mountain West,PUNT,"{'minutes': 1, 'seconds': 52}",3,"{'minutes': 5, 'seconds': 59}",79,252530254,25253025418,Utah State,Western Athletic,3,False,3,"{'minutes': 7, 'seconds': 51}",88,9,2005
17,Utah State,Western Athletic,FUMBLE,"{'minutes': 4, 'seconds': 4}",3,"{'minutes': 1, 'seconds': 55}",82,252530254,25253025419,Utah,Mountain West,8,False,3,"{'minutes': 5, 'seconds': 59}",43,39,2005
18,Utah,Mountain West,PUNT,"{'minutes': 1, 'seconds': 59}",4,{'minutes': 15},75,252530254,25253025420,Utah State,Western Athletic,3,False,3,"{'minutes': 1, 'seconds': 55}",82,7,2005
19,Utah State,Western Athletic,PASSING TD,"{'minutes': 1, 'seconds': 50}",4,"{'minutes': 13, 'seconds': 10}",100,252530254,25253025421,Utah,Mountain West,5,True,4,{'minutes': 15},56,44,2005
20,Utah,Mountain West,PUNT,{'seconds': 30},4,"{'minutes': 12, 'seconds': 40}",80,252530254,25253025422,Utah State,Western Athletic,3,False,4,"{'minutes': 13, 'seconds': 10}",80,0,2005
