,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,NC State,ACC,PUNT,"{'minutes': 2, 'seconds': 9}",1,"{'minutes': 12, 'seconds': 51}",76,252470152,25247015201,Virginia Tech,ACC,3,False,1,{'minutes': 15},80,4,2005
1,Virginia Tech,ACC,Uncategorized,"{'minutes': 6, 'seconds': 1}",1,"{'minutes': 6, 'seconds': 50}",20,252470152,25247015202,NC State,ACC,16,True,1,"{'minutes': 12, 'seconds': 51}",17,3,2005
2,NC State,ACC,RUSHING TD,"{'minutes': 3, 'seconds': 34}",1,"{'minutes': 3, 'seconds': 16}",0,252470152,25247015203,Virginia Tech,ACC,9,True,1,"{'minutes': 6, 'seconds': 50}",80,80,2005
3,Virginia Tech,ACC,INT,{'seconds': 40},1,"{'minutes': 2, 'seconds': 36}",52,252470152,25247015204,NC State,ACC,3,False,1,"{'minutes': 3, 'seconds': 16}",39,13,2005
4,NC State,ACC,PUNT,"{'minutes': 1, 'seconds': 5}",1,"{'minutes': 1, 'seconds': 31}",45,252470152,25247015205,Virginia Tech,ACC,3,False,1,"{'minutes': 2, 'seconds': 36}",42,-3,2005
5,Virginia Tech,ACC,PUNT,"{'minutes': 3, 'seconds': 11}",2,"{'minutes': 13, 'seconds': 20}",54,252470152,25247015206,NC State,ACC,6,False,1,"{'minutes': 1, 'seconds': 31}",3,51,2005
6,NC State,ACC,PUNT,"{'minutes': 1, 'seconds': 45}",2,"{'minutes': 11, 'seconds': 35}",80,252470152,25247015207,Virginia Tech,ACC,3,False,2,"{'minutes': 13, 'seconds': 20}",80,0,2005
7,Virginia Tech,ACC,FG GOOD,"{'minutes': 2, 'seconds': 55}",2,"{'minutes': 8, 'seconds': 40}",86,252470152,25247015208,NC State,ACC,8,True,2,"{'minutes': 11, 'seconds': 35}",52,34,2005
8,NC State,ACC,PUNT,"{'minutes': 1, 'seconds': 37}",2,"{'minutes': 7, 'seconds': 3}",77,252470152,25247015209,Virginia Tech,ACC,3,False,2,"{'minutes': 8, 'seconds': 40}",78,1,2005
9,Virginia Tech,ACC,PUNT,"{'minutes': 2, 'seconds': 13}",2,"{'minutes': 4, 'seconds': 50}",18,252470152,25247015210,NC State,ACC,3,False,2,"{'minutes': 7, 'seconds': 3}",24,-6,2005
10,NC State,ACC,FG GOOD,"{'minutes': 2, 'seconds': 17}",2,"{'minutes': 2, 'seconds': 33}",28,252470152,25247015211,Virginia Tech,ACC,5,True,2,"{'minutes': 4, 'seconds': 50}",57,29,2005
11,Virginia Tech,ACC,FG GOOD,"{'minutes': 2, 'seconds': 33}",2,{},91,252470152,25247015212,NC State,ACC,13,True,2,"{'minutes': 2, 'seconds': 33}",20,71,2005
12,Virginia Tech,ACC,PUNT,"{'minutes': 4, 'seconds': 55}",3,"{'minutes': 10, 'seconds': 5}",58,252470152,25247015213,NC State,ACC,8,False,3,{'minutes': 15},20,38,2005
13,NC State,ACC,FG GOOD,"{'minutes': 7, 'seconds': 46}",3,"{'minutes': 2, 'seconds': 19}",11,252470152,25247015214,Virginia Tech,ACC,17,True,3,"{'minutes': 10, 'seconds': 5}",99,88,2005
14,Virginia Tech,ACC,FUMBLE,"{'minutes': 1, 'seconds': 42}",3,{'seconds': 37},43,252470152,25247015215,NC State,ACC,5,False,3,"{'minutes': 2, 'seconds': 19}",20,23,2005
15,NC State,ACC,PUNT,{'seconds': 50},4,"{'minutes': 14, 'seconds': 47}",42,252470152,25247015216,Virginia Tech,ACC,3,False,3,{'seconds': 37},43,1,2005
16,Virginia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 31}",4,"{'minutes': 13, 'seconds': 16}",3,252470152,25247015217,NC State,ACC,3,False,4,"{'minutes': 14, 'seconds': 47}",1,2,2005
17,NC State,ACC,PASSING TD,"{'minutes': 1, 'seconds': 1}",4,"{'minutes': 12, 'seconds': 15}",0,252470152,25247015218,Virginia Tech,ACC,3,True,4,"{'minutes': 13, 'seconds': 16}",20,20,2005
18,Virginia Tech,ACC,FG GOOD,"{'minutes': 4, 'seconds': 6}",4,"{'minutes': 8, 'seconds': 9}",83,252470152,25247015219,NC State,ACC,8,True,4,"{'minutes': 12, 'seconds': 15}",27,56,2005
19,NC State,ACC,PUNT,"{'minutes': 7, 'seconds': 30}",4,{'seconds': 39},36,252470152,25247015220,Virginia Tech,ACC,15,False,4,"{'minutes': 8, 'seconds': 9}",80,44,2005
20,Virginia Tech,ACC,INT,{'seconds': 39},4,{},69,252470152,25247015221,NC State,ACC,6,False,4,{'seconds': 39},20,49,2005
21,Duke,ACC,FG MISSED,"{'minutes': 3, 'seconds': 11}",1,"{'minutes': 11, 'seconds': 49}",27,252530150,25253015001,Virginia Tech,ACC,9,False,1,{'minutes': 15},80,53,2005
22,Virginia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 11}",1,"{'minutes': 10, 'seconds': 38}",28,252530150,25253015002,Duke,ACC,3,False,1,"{'minutes': 11, 'seconds': 49}",27,1,2005
23,Duke,ACC,PASSING TD,"{'minutes': 3, 'seconds': 51}",1,"{'minutes': 6, 'seconds': 47}",0,252530150,25253015003,Virginia Tech,ACC,7,True,1,"{'minutes': 10, 'seconds': 38}",57,57,2005
24,Virginia Tech,ACC,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 59}",1,"{'minutes': 4, 'seconds': 48}",26,252530150,25253015004,Duke,ACC,4,False,1,"{'minutes': 6, 'seconds': 47}",22,4,2005
25,Duke,ACC,PUNT,"{'minutes': 2, 'seconds': 3}",1,"{'minutes': 2, 'seconds': 45}",36,252530150,25253015005,Virginia Tech,ACC,4,False,1,"{'minutes': 4, 'seconds': 48}",26,-10,2005
26,Virginia Tech,ACC,INT,{'seconds': 51},1,"{'minutes': 1, 'seconds': 54}",5,252530150,25253015006,Duke,ACC,2,True,1,"{'minutes': 2, 'seconds': 45}",3,2,2005
27,Duke,ACC,INT RETURN TOUCH,{'seconds': 7},1,"{'minutes': 1, 'seconds': 47}",0,252530150,25253015007,Virginia Tech,ACC,1,True,1,"{'minutes': 1, 'seconds': 54}",3,24,2005
28,Virginia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 47}",1,{},30,252530150,25253015008,Duke,ACC,3,False,1,"{'minutes': 1, 'seconds': 47}",26,4,2005
29,Duke,ACC,INT,"{'minutes': 1, 'seconds': 10}",2,"{'minutes': 13, 'seconds': 50}",34,252530150,25253015009,Virginia Tech,ACC,5,False,1,{},64,30,2005
30,Virginia Tech,ACC,PUNT,"{'minutes': 2, 'seconds': 39}",2,"{'minutes': 11, 'seconds': 11}",4,252530150,25253015010,Duke,ACC,3,False,2,"{'minutes': 13, 'seconds': 50}",29,-25,2005
31,Duke,ACC,PASSING TD,"{'minutes': 1, 'seconds': 56}",2,"{'minutes': 9, 'seconds': 15}",0,252530150,25253015011,Virginia Tech,ACC,5,True,2,"{'minutes': 11, 'seconds': 11}",54,54,2005
32,Virginia Tech,ACC,PUNT,"{'minutes': 3, 'seconds': 44}",2,"{'minutes': 5, 'seconds': 31}",20,252530150,25253015012,Duke,ACC,5,False,2,"{'minutes': 9, 'seconds': 15}",23,0,2005
33,Duke,ACC,PUNT,{'minutes': 2},2,"{'minutes': 3, 'seconds': 31}",39,252530150,25253015013,Virginia Tech,ACC,4,False,2,"{'minutes': 5, 'seconds': 31}",49,10,2005
34,Virginia Tech,ACC,END OF HALF,"{'minutes': 3, 'seconds': 31}",2,{},22,252530150,25253015014,Duke,ACC,5,False,2,"{'minutes': 3, 'seconds': 31}",7,15,2005
35,Virginia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 12}",3,"{'minutes': 13, 'seconds': 48}",18,252530150,25253015015,Duke,ACC,3,False,3,{'minutes': 15},20,-2,2005
36,Duke,ACC,PASSING TD,"{'minutes': 1, 'seconds': 56}",3,"{'minutes': 11, 'seconds': 52}",0,252530150,25253015016,Virginia Tech,ACC,4,True,3,"{'minutes': 13, 'seconds': 48}",52,52,2005
37,Virginia Tech,ACC,PUNT,"{'minutes': 5, 'seconds': 40}",3,"{'minutes': 6, 'seconds': 12}",41,252530150,25253015017,Duke,ACC,10,False,3,"{'minutes': 11, 'seconds': 52}",20,21,2005
38,Duke,ACC,RUSHING TD,"{'minutes': 4, 'seconds': 38}",3,"{'minutes': 1, 'seconds': 34}",0,252530150,25253015018,Virginia Tech,ACC,11,True,3,"{'minutes': 6, 'seconds': 12}",53,53,2005
39,Virginia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 34}",3,{},17,252530150,25253015019,Duke,ACC,3,False,3,"{'minutes': 1, 'seconds': 34}",20,-3,2005
40,Duke,ACC,PUNT,"{'minutes': 3, 'seconds': 33}",4,"{'minutes': 11, 'seconds': 27}",40,252530150,25253015020,Virginia Tech,ACC,6,False,3,{},53,13,2005
41,Virginia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 16}",4,"{'minutes': 10, 'seconds': 11}",6,252530150,25253015021,Duke,ACC,3,False,4,"{'minutes': 11, 'seconds': 27}",12,-6,2005
42,Duke,ACC,FG GOOD,"{'minutes': 2, 'seconds': 5}",4,"{'minutes': 8, 'seconds': 6}",14,252530150,25253015022,Virginia Tech,ACC,4,True,4,"{'minutes': 10, 'seconds': 11}",11,-3,2005
43,Virginia Tech,ACC,PUNT,"{'minutes': 1, 'seconds': 42}",4,"{'minutes': 6, 'seconds': 24}",22,252530150,25253015023,Duke,ACC,3,False,4,"{'minutes': 8, 'seconds': 6}",32,-10,2005
44,Duke,ACC,RUSHING TD,"{'minutes': 1, 'seconds': 30}",4,"{'minutes': 4, 'seconds': 54}",0,252530150,25253015024,Virginia Tech,ACC,5,True,4,"{'minutes': 6, 'seconds': 24}",34,34,2005
45,Virginia Tech,ACC,PUNT,"{'minutes': 2, 'seconds': 19}",4,"{'minutes': 2, 'seconds': 35}",26,252530150,25253015025,Duke,ACC,3,False,4,"{'minutes': 4, 'seconds': 54}",25,1,2005
46,Duke,ACC,END OF GAME,"{'minutes': 2, 'seconds': 35}",4,{},66,252530150,25253015026,Virginia Tech,ACC,4,False,4,"{'minutes': 2, 'seconds': 35}",76,10,2005
47,Virginia Tech,ACC,PUNT,"{'minutes': 3, 'seconds': 13}",1,"{'minutes': 11, 'seconds': 47}",61,252600259,25260025901,Ohio,Mid-American,7,False,1,{'minutes': 15},80,19,2005
48,Ohio,Mid-American,FG GOOD,"{'minutes': 3, 'seconds': 6}",1,"{'minutes': 8, 'seconds': 41}",82,252600259,25260025902,Virginia Tech,ACC,5,True,1,"{'minutes': 11, 'seconds': 47}",26,56,2005
