,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Syracuse,Big East,PUNT,{'seconds': 59},1,"{'minutes': 14, 'seconds': 1}",80,252600183,25260018301,Virginia,ACC,3,False,1,{'minutes': 15},80,0,2005
1,Virginia,ACC,RUSHING TD,"{'minutes': 2, 'seconds': 28}",1,"{'minutes': 11, 'seconds': 33}",100,252600183,25260018302,Syracuse,Big East,6,True,1,"{'minutes': 14, 'seconds': 1}",44,56,2005
2,Syracuse,Big East,RUSHING TD,"{'minutes': 5, 'seconds': 1}",1,"{'minutes': 6, 'seconds': 32}",0,252600183,25260018303,Virginia,ACC,11,True,1,"{'minutes': 11, 'seconds': 33}",74,74,2005
3,Virginia,ACC,PUNT,"{'minutes': 3, 'seconds': 7}",1,"{'minutes': 3, 'seconds': 25}",52,252600183,25260018304,Syracuse,Big East,6,False,1,"{'minutes': 6, 'seconds': 32}",25,27,2005
4,Syracuse,Big East,INT,"{'minutes': 4, 'seconds': 44}",2,"{'minutes': 13, 'seconds': 41}",5,252600183,25260018305,Virginia,ACC,11,False,1,"{'minutes': 3, 'seconds': 25}",80,75,2005
5,Virginia,ACC,PUNT,{'minutes': 2},2,"{'minutes': 11, 'seconds': 41}",20,252600183,25260018306,Syracuse,Big East,3,False,2,"{'minutes': 13, 'seconds': 41}",20,0,2005
6,Syracuse,Big East,INT,{'seconds': 8},2,"{'minutes': 11, 'seconds': 33}",48,252600183,25260018307,Virginia,ACC,1,False,2,"{'minutes': 11, 'seconds': 41}",48,0,2005
7,Virginia,ACC,PUNT,"{'minutes': 1, 'seconds': 43}",2,"{'minutes': 9, 'seconds': 50}",10,252600183,25260018308,Syracuse,Big East,3,False,2,"{'minutes': 11, 'seconds': 33}",8,2,2005
8,Syracuse,Big East,PASSING TD,"{'minutes': 2, 'seconds': 14}",2,"{'minutes': 7, 'seconds': 36}",0,252600183,25260018310,Virginia,ACC,4,True,2,"{'minutes': 9, 'seconds': 50}",32,32,2005
9,Virginia,ACC,PUNT,"{'minutes': 2, 'seconds': 55}",2,"{'minutes': 4, 'seconds': 41}",42,252600183,25260018311,Syracuse,Big East,7,False,2,"{'minutes': 7, 'seconds': 36}",20,22,2005
10,Syracuse,Big East,INT,"{'minutes': 2, 'seconds': 33}",2,"{'minutes': 2, 'seconds': 8}",52,252600183,25260018312,Virginia,ACC,6,False,2,"{'minutes': 4, 'seconds': 41}",80,28,2005
11,Virginia,ACC,PUNT,"{'minutes': 1, 'seconds': 2}",2,"{'minutes': 1, 'seconds': 6}",58,252600183,25260018313,Syracuse,Big East,3,False,2,"{'minutes': 2, 'seconds': 8}",65,-8,2005
12,Syracuse,Big East,PUNT,{'seconds': 38},2,{'seconds': 28},75,252600183,25260018314,Virginia,ACC,3,False,2,"{'minutes': 1, 'seconds': 6}",81,6,2005
13,Virginia,ACC,END OF HALF,{'seconds': 28},2,{},40,252600183,25260018315,Syracuse,Big East,2,False,2,{'seconds': 28},47,-7,2005
14,Virginia,ACC,PUNT,"{'minutes': 1, 'seconds': 3}",3,"{'minutes': 13, 'seconds': 53}",28,252600183,25260018316,Syracuse,Big East,3,False,3,"{'minutes': 14, 'seconds': 56}",20,8,2005
15,Syracuse,Big East,FG GOOD,"{'minutes': 4, 'seconds': 30}",3,"{'minutes': 9, 'seconds': 23}",9,252600183,25260018317,Virginia,ACC,12,True,3,"{'minutes': 13, 'seconds': 53}",53,44,2005
16,Virginia,ACC,PASSING TD,"{'minutes': 1, 'seconds': 40}",3,"{'minutes': 7, 'seconds': 43}",100,252600183,25260018318,Syracuse,Big East,5,True,3,"{'minutes': 9, 'seconds': 23}",60,60,2005
17,Syracuse,Big East,RUSHING TD,{'seconds': 46},3,"{'minutes': 6, 'seconds': 57}",0,252600183,25260018319,Virginia,ACC,2,True,3,"{'minutes': 7, 'seconds': 43}",77,77,2005
18,Virginia,ACC,PUNT,"{'minutes': 1, 'seconds': 38}",3,"{'minutes': 5, 'seconds': 19}",24,252600183,25260018320,Syracuse,Big East,3,False,3,"{'minutes': 6, 'seconds': 57}",20,4,2005
19,Syracuse,Big East,PUNT,"{'minutes': 1, 'seconds': 32}",3,"{'minutes': 3, 'seconds': 47}",37,252600183,25260018321,Virginia,ACC,3,False,3,"{'minutes': 5, 'seconds': 19}",44,7,2005
20,Virginia,ACC,RUSHING TD,"{'minutes': 5, 'seconds': 30}",4,"{'minutes': 13, 'seconds': 17}",100,252600183,25260018322,Syracuse,Big East,11,True,3,"{'minutes': 3, 'seconds': 47}",20,80,2005
21,Syracuse,Big East,PUNT,"{'minutes': 1, 'seconds': 39}",4,"{'minutes': 11, 'seconds': 38}",82,252600183,25260018323,Virginia,ACC,3,False,4,"{'minutes': 13, 'seconds': 17}",80,-2,2005
22,Virginia,ACC,FG GOOD,"{'minutes': 5, 'seconds': 20}",4,"{'minutes': 6, 'seconds': 18}",90,252600183,25260018324,Syracuse,Big East,12,True,4,"{'minutes': 11, 'seconds': 38}",46,44,2005
23,Syracuse,Big East,FG GOOD,"{'minutes': 6, 'seconds': 18}",4,{},2,252600183,25260018325,Virginia,ACC,13,True,4,"{'minutes': 6, 'seconds': 18}",59,57,2005
24,Duke,ACC,Uncategorized,{},1,{'minutes': 15},35,252670258,25267025801,Virginia,ACC,1,False,1,{'minutes': 15},35,0,2005
25,Virginia,ACC,PUNT,{'seconds': 29},1,"{'minutes': 14, 'seconds': 31}",93,252670258,25267025802,Duke,ACC,3,False,1,{'minutes': 15},98,5,2005
26,Duke,ACC,PUNT,{'seconds': 48},1,"{'minutes': 13, 'seconds': 43}",56,252670258,25267025803,Virginia,ACC,3,False,1,"{'minutes': 14, 'seconds': 31}",51,5,2005
27,Virginia,ACC,PUNT,"{'minutes': 3, 'seconds': 13}",1,"{'minutes': 10, 'seconds': 30}",80,252670258,25267025804,Duke,ACC,5,False,1,"{'minutes': 13, 'seconds': 43}",97,17,2005
28,Duke,ACC,PUNT,"{'minutes': 2, 'seconds': 1}",1,"{'minutes': 8, 'seconds': 29}",35,252670258,25267025805,Virginia,ACC,3,False,1,"{'minutes': 10, 'seconds': 30}",26,9,2005
29,Virginia,ACC,FUMBLE,"{'minutes': 1, 'seconds': 35}",1,"{'minutes': 6, 'seconds': 54}",76,252670258,25267025806,Duke,ACC,3,False,1,"{'minutes': 8, 'seconds': 29}",76,0,2005
30,Duke,ACC,FG GOOD,"{'minutes': 2, 'seconds': 28}",1,"{'minutes': 4, 'seconds': 26}",85,252670258,25267025807,Virginia,ACC,7,True,1,"{'minutes': 6, 'seconds': 54}",76,9,2005
31,Virginia,ACC,PUNT,"{'minutes': 1, 'seconds': 53}",1,"{'minutes': 2, 'seconds': 33}",80,252670258,25267025808,Duke,ACC,3,False,1,"{'minutes': 4, 'seconds': 26}",80,0,2005
32,Duke,ACC,FUMBLE,"{'minutes': 2, 'seconds': 59}",2,"{'minutes': 14, 'seconds': 14}",72,252670258,25267025809,Virginia,ACC,7,False,1,"{'minutes': 2, 'seconds': 33}",35,37,2005
33,Virginia,ACC,PUNT,{'seconds': 58},2,"{'minutes': 13, 'seconds': 16}",74,252670258,25267025810,Duke,ACC,3,False,2,"{'minutes': 14, 'seconds': 14}",72,-2,2005
34,Duke,ACC,PASSING TD,"{'minutes': 4, 'seconds': 53}",2,"{'minutes': 8, 'seconds': 23}",100,252670258,25267025811,Virginia,ACC,10,True,2,"{'minutes': 13, 'seconds': 16}",48,52,2005
35,Virginia,ACC,INT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 6, 'seconds': 52}",71,252670258,25267025812,Duke,ACC,4,False,2,"{'minutes': 8, 'seconds': 23}",83,12,2005
36,Duke,ACC,FG MISSED,"{'minutes': 1, 'seconds': 46}",2,"{'minutes': 5, 'seconds': 6}",64,252670258,25267025813,Virginia,ACC,4,False,2,"{'minutes': 6, 'seconds': 52}",56,8,2005
37,Virginia,ACC,INT,"{'minutes': 3, 'seconds': 11}",2,"{'minutes': 1, 'seconds': 55}",29,252670258,25267025814,Duke,ACC,6,False,2,"{'minutes': 5, 'seconds': 6}",64,35,2005
38,Duke,ACC,PUNT,"{'minutes': 1, 'seconds': 48}",2,{'seconds': 7},16,252670258,25267025815,Virginia,ACC,3,False,2,"{'minutes': 1, 'seconds': 55}",16,0,2005
39,Virginia,ACC,END OF HALF,{'seconds': 7},2,{},35,252670258,25267025816,Duke,ACC,1,False,2,{'seconds': 7},52,17,2005
40,Duke,ACC,PASSING TD,"{'minutes': 3, 'seconds': 22}",3,"{'minutes': 11, 'seconds': 31}",100,252670258,25267025817,Virginia,ACC,7,True,3,"{'minutes': 14, 'seconds': 53}",37,63,2005
41,Virginia,ACC,INT,"{'minutes': 1, 'seconds': 5}",3,"{'minutes': 10, 'seconds': 26}",81,252670258,25267025818,Duke,ACC,4,False,3,"{'minutes': 11, 'seconds': 31}",80,-1,2005
42,Duke,ACC,PASSING TD,"{'minutes': 2, 'seconds': 5}",3,"{'minutes': 8, 'seconds': 21}",100,252670258,25267025819,Virginia,ACC,3,True,3,"{'minutes': 10, 'seconds': 26}",88,12,2005
43,Virginia,ACC,PUNT,"{'minutes': 3, 'seconds': 34}",3,"{'minutes': 4, 'seconds': 47}",89,252670258,25267025820,Duke,ACC,4,False,3,"{'minutes': 8, 'seconds': 21}",80,-9,2005
44,Duke,ACC,PASSING TD,{'seconds': 11},3,"{'minutes': 4, 'seconds': 36}",100,252670258,25267025821,Virginia,ACC,1,True,3,"{'minutes': 4, 'seconds': 47}",77,23,2005
45,Virginia,ACC,PASSING TD,"{'minutes': 4, 'seconds': 43}",4,"{'minutes': 14, 'seconds': 53}",0,252670258,25267025822,Duke,ACC,9,True,3,"{'minutes': 4, 'seconds': 36}",78,78,2005
46,Duke,ACC,RUSHING TD,{'seconds': 17},4,"{'minutes': 14, 'seconds': 36}",100,252670258,25267025823,Virginia,ACC,1,True,4,"{'minutes': 14, 'seconds': 53}",84,16,2005
