,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Vanderbilt,SEC,Uncategorized,"{'minutes': 3, 'seconds': 46}",1,"{'minutes': 11, 'seconds': 6}",6,252440154,25244015401,Wake Forest,ACC,0,False,1,"{'minutes': 14, 'seconds': 52}",6,0,2005
1,Wake Forest,ACC,Uncategorized,"{'minutes': 2, 'seconds': 32}",1,"{'minutes': 8, 'seconds': 34}",69,252440154,25244015402,Vanderbilt,SEC,0,False,1,"{'minutes': 11, 'seconds': 6}",69,0,2005
2,Vanderbilt,SEC,Uncategorized,"{'minutes': 3, 'seconds': 34}",1,{'minutes': 5},23,252440154,25244015403,Wake Forest,ACC,0,False,1,"{'minutes': 8, 'seconds': 34}",23,0,2005
3,Wake Forest,ACC,Uncategorized,{'minutes': 5},1,{},78,252440154,25244015404,Vanderbilt,SEC,0,False,1,{'minutes': 5},78,0,2005
4,Vanderbilt,SEC,Uncategorized,"{'minutes': 1, 'seconds': 44}",2,"{'minutes': 12, 'seconds': 35}",30,252440154,25244015405,Wake Forest,ACC,0,False,2,"{'minutes': 14, 'seconds': 19}",30,0,2005
5,Wake Forest,ACC,Uncategorized,"{'minutes': 3, 'seconds': 20}",2,"{'minutes': 9, 'seconds': 15}",85,252440154,25244015406,Vanderbilt,SEC,0,False,2,"{'minutes': 12, 'seconds': 35}",85,0,2005
6,Vanderbilt,SEC,Uncategorized,{'minutes': 3},2,"{'minutes': 6, 'seconds': 15}",34,252440154,25244015407,Wake Forest,ACC,0,False,2,"{'minutes': 9, 'seconds': 15}",34,0,2005
7,Wake Forest,ACC,Uncategorized,"{'minutes': 3, 'seconds': 38}",2,"{'minutes': 2, 'seconds': 37}",85,252440154,25244015408,Vanderbilt,SEC,0,False,2,"{'minutes': 6, 'seconds': 15}",85,0,2005
8,Vanderbilt,SEC,Uncategorized,"{'minutes': 2, 'seconds': 37}",2,{},20,252440154,25244015409,Wake Forest,ACC,0,False,2,"{'minutes': 2, 'seconds': 37}",20,0,2005
9,Wake Forest,ACC,Uncategorized,"{'minutes': 2, 'seconds': 13}",3,"{'minutes': 12, 'seconds': 41}",68,252440154,25244015410,Vanderbilt,SEC,0,False,3,"{'minutes': 14, 'seconds': 54}",68,0,2005
10,Vanderbilt,SEC,Uncategorized,"{'minutes': 3, 'seconds': 54}",3,"{'minutes': 8, 'seconds': 47}",20,252440154,25244015411,Wake Forest,ACC,0,False,3,"{'minutes': 12, 'seconds': 41}",20,0,2005
11,Wake Forest,ACC,Uncategorized,"{'minutes': 3, 'seconds': 54}",3,"{'minutes': 4, 'seconds': 53}",97,252440154,25244015412,Vanderbilt,SEC,0,False,3,"{'minutes': 8, 'seconds': 47}",97,0,2005
12,Vanderbilt,SEC,Uncategorized,"{'minutes': 4, 'seconds': 50}",3,{'seconds': 3},36,252440154,25244015413,Wake Forest,ACC,0,False,3,"{'minutes': 4, 'seconds': 53}",36,0,2005
13,Wake Forest,ACC,Uncategorized,{'seconds': 3},3,{},80,252440154,25244015414,Vanderbilt,SEC,0,False,3,{'seconds': 3},80,0,2005
14,Wake Forest,ACC,Uncategorized,"{'minutes': 1, 'seconds': 32}",4,"{'minutes': 11, 'seconds': 26}",98,252440154,25244015416,Vanderbilt,SEC,0,False,4,"{'minutes': 12, 'seconds': 58}",98,0,2005
15,Vanderbilt,SEC,Uncategorized,"{'minutes': 1, 'seconds': 9}",4,"{'minutes': 10, 'seconds': 17}",59,252440154,25244015417,Wake Forest,ACC,0,False,4,"{'minutes': 11, 'seconds': 26}",59,0,2005
16,Wake Forest,ACC,Uncategorized,"{'minutes': 3, 'seconds': 59}",4,"{'minutes': 6, 'seconds': 18}",85,252440154,25244015418,Vanderbilt,SEC,0,False,4,"{'minutes': 10, 'seconds': 17}",85,0,2005
17,Vanderbilt,SEC,Uncategorized,"{'minutes': 3, 'seconds': 23}",4,"{'minutes': 2, 'seconds': 55}",26,252440154,25244015419,Wake Forest,ACC,0,False,4,"{'minutes': 6, 'seconds': 18}",26,0,2005
18,Wake Forest,ACC,Uncategorized,"{'minutes': 1, 'seconds': 12}",4,"{'minutes': 1, 'seconds': 43}",55,252440154,25244015420,Vanderbilt,SEC,0,False,4,"{'minutes': 2, 'seconds': 55}",55,0,2005
19,Vanderbilt,SEC,Uncategorized,"{'minutes': 1, 'seconds': 27}",4,{'seconds': 16},31,252440154,25244015421,Wake Forest,ACC,0,False,4,"{'minutes': 1, 'seconds': 43}",31,0,2005
20,Wake Forest,ACC,Uncategorized,{'seconds': 16},4,{},51,252440154,25244015422,Vanderbilt,SEC,0,False,4,{'seconds': 16},51,0,2005
21,Nebraska,Big 12,PUNT,"{'minutes': 2, 'seconds': 26}",1,"{'minutes': 12, 'seconds': 31}",93,252530158,25253015801,Wake Forest,ACC,3,False,1,"{'minutes': 14, 'seconds': 57}",98,5,2005
22,Wake Forest,ACC,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 20}",1,"{'minutes': 10, 'seconds': 11}",83,252530158,25253015802,Nebraska,Big 12,8,False,1,"{'minutes': 12, 'seconds': 31}",55,28,2005
23,Nebraska,Big 12,INT,"{'minutes': 3, 'seconds': 47}",1,"{'minutes': 6, 'seconds': 24}",53,252530158,25253015803,Wake Forest,ACC,7,True,1,"{'minutes': 10, 'seconds': 11}",83,30,2005
24,Wake Forest,ACC,INT RETURN TOUCH,{'seconds': 1},1,"{'minutes': 6, 'seconds': 23}",100,252530158,25253015804,Nebraska,Big 12,1,True,1,"{'minutes': 6, 'seconds': 24}",97,38,2005
25,Nebraska,Big 12,PUNT,"{'minutes': 1, 'seconds': 58}",1,"{'minutes': 4, 'seconds': 25}",90,252530158,25253015805,Wake Forest,ACC,3,False,1,"{'minutes': 6, 'seconds': 23}",99,9,2005
26,Wake Forest,ACC,PUNT,{'seconds': 56},1,"{'minutes': 3, 'seconds': 29}",48,252530158,25253015806,Nebraska,Big 12,3,False,1,"{'minutes': 4, 'seconds': 25}",42,6,2005
27,Nebraska,Big 12,FUMBLE,{'seconds': 44},1,"{'minutes': 2, 'seconds': 45}",70,252530158,25253015807,Wake Forest,ACC,4,True,1,"{'minutes': 3, 'seconds': 29}",81,11,2005
28,Wake Forest,ACC,FUMBLE RETURN TD,{'seconds': 8},1,"{'minutes': 2, 'seconds': 37}",70,252530158,25253015808,Nebraska,Big 12,1,True,1,"{'minutes': 2, 'seconds': 45}",97,30,2005
29,Nebraska,Big 12,PUNT,"{'minutes': 2, 'seconds': 16}",1,{'seconds': 21},53,252530158,25253015809,Wake Forest,ACC,4,False,1,"{'minutes': 2, 'seconds': 37}",73,20,2005
30,Wake Forest,ACC,PUNT,{'seconds': 45},2,"{'minutes': 14, 'seconds': 36}",20,252530158,25253015810,Nebraska,Big 12,3,False,1,{'seconds': 21},11,9,2005
31,Nebraska,Big 12,INT,{'seconds': 52},2,"{'minutes': 13, 'seconds': 44}",48,252530158,25253015811,Wake Forest,ACC,2,False,2,"{'minutes': 14, 'seconds': 36}",46,-2,2005
32,Wake Forest,ACC,PUNT,"{'minutes': 1, 'seconds': 43}",2,"{'minutes': 12, 'seconds': 1}",43,252530158,25253015812,Nebraska,Big 12,3,False,2,"{'minutes': 13, 'seconds': 44}",44,-1,2005
33,Nebraska,Big 12,FG MISSED,"{'minutes': 3, 'seconds': 19}",2,"{'minutes': 8, 'seconds': 42}",18,252530158,25253015813,Wake Forest,ACC,8,False,2,"{'minutes': 12, 'seconds': 1}",76,58,2005
34,Wake Forest,ACC,PUNT,"{'minutes': 3, 'seconds': 47}",2,"{'minutes': 4, 'seconds': 55}",43,252530158,25253015814,Nebraska,Big 12,6,False,2,"{'minutes': 8, 'seconds': 42}",20,23,2005
35,Nebraska,Big 12,PUNT,"{'minutes': 2, 'seconds': 8}",2,"{'minutes': 2, 'seconds': 47}",72,252530158,25253015815,Wake Forest,ACC,5,False,2,"{'minutes': 4, 'seconds': 55}",85,13,2005
36,Wake Forest,ACC,PUNT,"{'minutes': 2, 'seconds': 40}",2,{'seconds': 7},15,252530158,25253015816,Nebraska,Big 12,6,False,2,"{'minutes': 2, 'seconds': 47}",5,10,2005
37,Nebraska,Big 12,FG GOOD,{'seconds': 7},2,{},34,252530158,25253015817,Wake Forest,ACC,2,True,2,{'seconds': 7},42,8,2005
38,Wake Forest,ACC,PASSING TD,"{'minutes': 2, 'seconds': 13}",3,"{'minutes': 12, 'seconds': 47}",100,252530158,25253015818,Nebraska,Big 12,7,True,3,{'minutes': 15},20,80,2005
39,Nebraska,Big 12,PUNT,"{'minutes': 2, 'seconds': 10}",3,"{'minutes': 10, 'seconds': 37}",90,252530158,25253015819,Wake Forest,ACC,3,False,3,"{'minutes': 12, 'seconds': 47}",81,-9,2005
40,Wake Forest,ACC,PUNT,"{'minutes': 1, 'seconds': 10}",3,"{'minutes': 9, 'seconds': 27}",34,252530158,25253015820,Nebraska,Big 12,4,False,3,"{'minutes': 10, 'seconds': 37}",40,-6,2005
41,Nebraska,Big 12,PUNT,"{'minutes': 3, 'seconds': 3}",3,"{'minutes': 6, 'seconds': 24}",47,252530158,25253015821,Wake Forest,ACC,8,False,3,"{'minutes': 9, 'seconds': 27}",66,19,2005
42,Wake Forest,ACC,FG GOOD,"{'minutes': 4, 'seconds': 47}",3,"{'minutes': 1, 'seconds': 37}",97,252530158,25253015822,Nebraska,Big 12,13,True,3,"{'minutes': 6, 'seconds': 24}",20,77,2005
43,Nebraska,Big 12,PUNT,{'minutes': 1},3,{'seconds': 37},82,252530158,25253015823,Wake Forest,ACC,3,False,3,"{'minutes': 1, 'seconds': 37}",81,-1,2005
44,Wake Forest,ACC,PUNT,{'seconds': 55},4,"{'minutes': 14, 'seconds': 42}",44,252530158,25253015824,Nebraska,Big 12,3,False,3,{'seconds': 37},45,-1,2005
45,Nebraska,Big 12,TURNOVER ON DOWNS,"{'minutes': 2, 'seconds': 55}",4,"{'minutes': 11, 'seconds': 47}",45,252530158,25253015825,Wake Forest,ACC,8,False,4,"{'minutes': 14, 'seconds': 42}",92,47,2005
46,Wake Forest,ACC,INT,"{'minutes': 1, 'seconds': 4}",4,"{'minutes': 10, 'seconds': 43}",71,252530158,25253015826,Nebraska,Big 12,3,False,4,"{'minutes': 11, 'seconds': 47}",45,26,2005
47,Nebraska,Big 12,INT,{'seconds': 20},4,"{'minutes': 10, 'seconds': 23}",51,252530158,25253015827,Wake Forest,ACC,2,True,4,"{'minutes': 10, 'seconds': 43}",51,0,2005
48,Wake Forest,ACC,INT RETURN TOUCH,{'seconds': 5},4,"{'minutes': 10, 'seconds': 18}",100,252530158,25253015828,Nebraska,Big 12,1,True,4,"{'minutes': 10, 'seconds': 23}",97,43,2005
49,Nebraska,Big 12,PUNT,"{'minutes': 4, 'seconds': 58}",4,"{'minutes': 5, 'seconds': 20}",47,252530158,25253015829,Wake Forest,ACC,9,False,4,"{'minutes': 10, 'seconds': 18}",77,30,2005
50,Wake Forest,ACC,PUNT,{'minutes': 1},4,"{'minutes': 4, 'seconds': 20}",16,252530158,25253015830,Nebraska,Big 12,3,False,4,"{'minutes': 5, 'seconds': 20}",20,-4,2005
51,Nebraska,Big 12,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 25}",4,{'seconds': 55},35,252530158,25253015831,Wake Forest,ACC,11,False,4,"{'minutes': 4, 'seconds': 20}",92,57,2005
52,Wake Forest,ACC,END OF GAME,{'seconds': 55},4,{},30,252530158,25253015832,Nebraska,Big 12,2,False,4,{'seconds': 55},35,-5,2005
53,Wake Forest,ACC,FG GOOD,{'minutes': 5},1,{'minutes': 10},5,252670154,25267015401,Maryland,ACC,14,True,1,{'minutes': 15},80,75,2005
54,Maryland,ACC,PUNT,"{'minutes': 2, 'seconds': 9}",1,"{'minutes': 7, 'seconds': 51}",45,252670154,25267015402,Wake Forest,ACC,4,False,1,{'minutes': 10},24,21,2005
55,Wake Forest,ACC,PUNT,"{'minutes': 2, 'seconds': 5}",1,"{'minutes': 5, 'seconds': 46}",67,252670154,25267015403,Maryland,ACC,5,False,1,"{'minutes': 7, 'seconds': 51}",79,12,2005
