,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Idaho,Western Athletic,RUSHING TD,{'seconds': 19},1,"{'minutes': 14, 'seconds': 41}",100,252440265,25244026501,Washington State,Pac-10,1,True,1,{'minutes': 15},20,80,2005
1,Idaho,Western Athletic,RUSHING TD,{'seconds': 57},1,"{'minutes': 13, 'seconds': 51}",100,252440265,25244026503,Washington State,Pac-10,3,True,1,"{'minutes': 14, 'seconds': 48}",81,19,2005
2,Washington State,Pac-10,PASSING TD,"{'minutes': 4, 'seconds': 56}",1,"{'minutes': 8, 'seconds': 55}",0,252440265,25244026504,Idaho,Western Athletic,10,True,1,"{'minutes': 13, 'seconds': 51}",73,73,2005
3,Idaho,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 52}",1,"{'minutes': 7, 'seconds': 3}",51,252440265,25244026505,Washington State,Pac-10,4,False,1,"{'minutes': 8, 'seconds': 55}",27,24,2005
4,Washington State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 48}",1,"{'minutes': 5, 'seconds': 15}",99,252440265,25244026506,Idaho,Western Athletic,3,False,1,"{'minutes': 7, 'seconds': 3}",93,-6,2005
5,Idaho,Western Athletic,FG GOOD,"{'minutes': 5, 'seconds': 3}",1,{'seconds': 12},91,252440265,25244026507,Washington State,Pac-10,11,True,1,"{'minutes': 5, 'seconds': 15}",61,30,2005
6,Washington State,Pac-10,PUNT,"{'minutes': 1, 'seconds': 5}",2,"{'minutes': 14, 'seconds': 15}",82,252440265,25244026508,Idaho,Western Athletic,3,False,1,{'seconds': 12},86,4,2005
7,Idaho,Western Athletic,INT,"{'minutes': 1, 'seconds': 57}",2,"{'minutes': 12, 'seconds': 18}",86,252440265,25244026509,Washington State,Pac-10,6,False,2,"{'minutes': 14, 'seconds': 15}",51,35,2005
8,Washington State,Pac-10,FG GOOD,"{'minutes': 5, 'seconds': 41}",2,"{'minutes': 6, 'seconds': 37}",7,252440265,25244026510,Idaho,Western Athletic,12,True,2,"{'minutes': 12, 'seconds': 18}",90,83,2005
9,Idaho,Western Athletic,PUNT,"{'minutes': 1, 'seconds': 9}",2,"{'minutes': 5, 'seconds': 28}",14,252440265,25244026511,Washington State,Pac-10,3,False,2,"{'minutes': 6, 'seconds': 37}",21,-7,2005
10,Washington State,Pac-10,PUNT,{'seconds': 31},2,"{'minutes': 4, 'seconds': 57}",52,252440265,25244026512,Idaho,Western Athletic,3,False,2,"{'minutes': 5, 'seconds': 28}",57,5,2005
