,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,West Virginia,Big East,PUNT,"{'minutes': 3, 'seconds': 13}",1,"{'minutes': 11, 'seconds': 42}",42,252470183,25247018301,Syracuse,Big East,6,False,1,"{'minutes': 14, 'seconds': 55}",20,22,2005
1,Syracuse,Big East,FUMBLE,"{'minutes': 4, 'seconds': 2}",1,"{'minutes': 7, 'seconds': 40}",79,252470183,25247018302,West Virginia,Big East,1,False,1,"{'minutes': 11, 'seconds': 42}",80,66,2005
2,West Virginia,Big East,PUNT,"{'minutes': 2, 'seconds': 1}",1,"{'minutes': 5, 'seconds': 39}",20,252470183,25247018303,Syracuse,Big East,3,False,1,"{'minutes': 7, 'seconds': 40}",21,8,2005
3,Syracuse,Big East,PUNT,"{'minutes': 1, 'seconds': 57}",1,"{'minutes': 3, 'seconds': 42}",50,252470183,25247018304,West Virginia,Big East,3,False,1,"{'minutes': 5, 'seconds': 39}",50,0,2005
4,West Virginia,Big East,PUNT,"{'minutes': 1, 'seconds': 3}",1,"{'minutes': 2, 'seconds': 39}",14,252470183,25247018305,Syracuse,Big East,3,False,1,"{'minutes': 3, 'seconds': 42}",13,1,2005
5,Syracuse,Big East,FUMBLE,{'seconds': 7},1,"{'minutes': 2, 'seconds': 32}",41,252470183,25247018306,West Virginia,Big East,1,False,1,"{'minutes': 2, 'seconds': 39}",54,13,2005
6,West Virginia,Big East,PUNT,"{'minutes': 1, 'seconds': 53}",1,{'seconds': 39},39,252470183,25247018307,Syracuse,Big East,3,False,1,"{'minutes': 2, 'seconds': 32}",41,-2,2005
7,Syracuse,Big East,PUNT,{'seconds': 57},2,"{'minutes': 14, 'seconds': 42}",83,252470183,25247018308,West Virginia,Big East,3,False,1,{'seconds': 39},77,-6,2005
8,West Virginia,Big East,RUSHING TD,{'seconds': 40},2,"{'minutes': 14, 'seconds': 2}",100,252470183,25247018309,Syracuse,Big East,2,True,2,"{'minutes': 14, 'seconds': 42}",82,18,2005
9,Syracuse,Big East,PUNT,"{'minutes': 1, 'seconds': 30}",2,"{'minutes': 12, 'seconds': 32}",61,252470183,25247018310,West Virginia,Big East,4,False,2,"{'minutes': 14, 'seconds': 2}",79,18,2005
10,West Virginia,Big East,INT,{'seconds': 8},2,"{'minutes': 12, 'seconds': 24}",32,252470183,25247018311,Syracuse,Big East,1,True,2,"{'minutes': 12, 'seconds': 32}",32,0,2005
11,Syracuse,Big East,INT RETURN TOUCH,{'seconds': 7},2,"{'minutes': 12, 'seconds': 17}",0,252470183,25247018312,West Virginia,Big East,1,True,2,"{'minutes': 12, 'seconds': 24}",3,32,2005
12,West Virginia,Big East,PUNT,"{'minutes': 2, 'seconds': 10}",2,"{'minutes': 10, 'seconds': 7}",30,252470183,25247018313,Syracuse,Big East,3,False,2,"{'minutes': 12, 'seconds': 17}",29,1,2005
13,Syracuse,Big East,PUNT,"{'minutes': 3, 'seconds': 11}",2,"{'minutes': 6, 'seconds': 56}",57,252470183,25247018314,West Virginia,Big East,5,False,2,"{'minutes': 10, 'seconds': 7}",70,13,2005
