,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Auburn,SEC,FG MISSED,"{'minutes': 1, 'seconds': 22}",1,"{'minutes': 13, 'seconds': 38}",31,252670002,25267000201,Western Kentucky,,5,False,1,{'minutes': 15},80,49,2005
1,Western Kentucky,,FG GOOD,"{'minutes': 4, 'seconds': 28}",1,"{'minutes': 9, 'seconds': 10}",89,252670002,25267000202,Auburn,SEC,9,True,1,"{'minutes': 13, 'seconds': 38}",31,58,2005
2,Auburn,SEC,PUNT,{'seconds': 55},1,"{'minutes': 8, 'seconds': 15}",78,252670002,25267000203,Western Kentucky,,3,False,1,"{'minutes': 9, 'seconds': 10}",85,7,2005
3,Western Kentucky,,RUSHING TD,"{'minutes': 5, 'seconds': 27}",1,"{'minutes': 2, 'seconds': 48}",100,252670002,25267000204,Auburn,SEC,9,True,1,"{'minutes': 8, 'seconds': 15}",38,62,2005
4,Auburn,SEC,PUNT,"{'minutes': 3, 'seconds': 2}",2,{'minutes': 15},74,252670002,25267000205,Western Kentucky,,6,False,1,"{'minutes': 2, 'seconds': 48}",90,16,2005
5,Western Kentucky,,PUNT,"{'minutes': 2, 'seconds': 58}",2,"{'minutes': 12, 'seconds': 2}",45,252670002,25267000206,Auburn,SEC,6,False,2,{'minutes': 15},30,15,2005
6,Auburn,SEC,PUNT,"{'minutes': 1, 'seconds': 44}",2,"{'minutes': 10, 'seconds': 18}",76,252670002,25267000207,Western Kentucky,,3,False,2,"{'minutes': 12, 'seconds': 2}",83,7,2005
7,Western Kentucky,,PASSING TD,"{'minutes': 5, 'seconds': 37}",2,"{'minutes': 4, 'seconds': 41}",100,252670002,25267000208,Auburn,SEC,5,True,2,"{'minutes': 10, 'seconds': 18}",48,52,2005
8,Auburn,SEC,PUNT,"{'minutes': 1, 'seconds': 57}",2,"{'minutes': 2, 'seconds': 44}",72,252670002,25267000209,Western Kentucky,,5,False,2,"{'minutes': 4, 'seconds': 41}",80,8,2005
9,Western Kentucky,,PASSING TD,"{'minutes': 2, 'seconds': 31}",2,{'seconds': 13},100,252670002,25267000210,Auburn,SEC,9,True,2,"{'minutes': 2, 'seconds': 44}",44,56,2005
10,Auburn,SEC,END OF HALF,{'seconds': 13},2,{},69,252670002,25267000211,Western Kentucky,,1,False,2,{'seconds': 13},70,1,2005
11,Western Kentucky,,PUNT,{},3,{'minutes': 15},44,252670002,25267000212,Auburn,SEC,3,False,3,{'minutes': 15},35,9,2005
12,Auburn,SEC,INT,"{'minutes': 4, 'seconds': 29}",3,"{'minutes': 10, 'seconds': 31}",45,252670002,25267000213,Western Kentucky,,1,False,3,{'minutes': 15},88,10,2005
13,Western Kentucky,,FG GOOD,"{'minutes': 5, 'seconds': 8}",3,"{'minutes': 5, 'seconds': 23}",97,252670002,25267000214,Auburn,SEC,10,True,3,"{'minutes': 10, 'seconds': 31}",45,52,2005
14,Auburn,SEC,TURNOVER ON DOWNS,"{'minutes': 3, 'seconds': 36}",3,"{'minutes': 1, 'seconds': 47}",45,252670002,25267000215,Western Kentucky,,6,False,3,"{'minutes': 5, 'seconds': 23}",65,20,2005
15,Western Kentucky,,FG GOOD,"{'minutes': 1, 'seconds': 35}",3,{'seconds': 12},85,252670002,25267000216,Auburn,SEC,5,True,3,"{'minutes': 1, 'seconds': 47}",45,40,2005
16,Auburn,SEC,RUSHING TD,"{'minutes': 3, 'seconds': 18}",4,"{'minutes': 11, 'seconds': 54}",0,252670002,25267000217,Western Kentucky,,7,True,3,{'seconds': 12},80,80,2005
17,Western Kentucky,,PASSING TD,{'seconds': 35},4,"{'minutes': 11, 'seconds': 19}",100,252670002,25267000218,Auburn,SEC,3,True,4,"{'minutes': 11, 'seconds': 54}",63,37,2005
18,Auburn,SEC,RUSHING TD,"{'minutes': 3, 'seconds': 13}",4,"{'minutes': 8, 'seconds': 6}",0,252670002,25267000219,Western Kentucky,,8,True,4,"{'minutes': 11, 'seconds': 19}",83,83,2005
19,Western Kentucky,,FUMBLE,{'seconds': 34},4,"{'minutes': 7, 'seconds': 32}",15,252670002,25267000220,Auburn,SEC,2,False,4,"{'minutes': 8, 'seconds': 6}",31,-16,2005
20,Auburn,SEC,INT,"{'minutes': 1, 'seconds': 50}",4,"{'minutes': 5, 'seconds': 42}",74,252670002,25267000221,Western Kentucky,,0,False,4,"{'minutes': 7, 'seconds': 32}",11,3,2005
21,Western Kentucky,,Uncategorized,"{'minutes': 2, 'seconds': 8}",4,"{'minutes': 3, 'seconds': 34}",42,252670002,25267000222,Auburn,SEC,5,False,4,"{'minutes': 5, 'seconds': 42}",26,17,2005
