,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Toledo,Mid-American,PUNT,{'seconds': 34},1,"{'minutes': 14, 'seconds': 26}",72,252532649,25253264901,Western Michigan,Mid-American,3,False,1,{'minutes': 15},73,1,2005
1,Western Michigan,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 12}",1,"{'minutes': 12, 'seconds': 14}",100,252532649,25253264902,Toledo,Mid-American,4,True,1,"{'minutes': 14, 'seconds': 26}",38,62,2005
2,Toledo,Mid-American,PUNT,"{'minutes': 2, 'seconds': 3}",1,"{'minutes': 10, 'seconds': 11}",58,252532649,25253264903,Western Michigan,Mid-American,6,False,1,"{'minutes': 12, 'seconds': 14}",79,21,2005
3,Western Michigan,Mid-American,PASSING TD,"{'minutes': 7, 'seconds': 12}",1,"{'minutes': 2, 'seconds': 59}",100,252532649,25253264904,Toledo,Mid-American,17,True,1,"{'minutes': 10, 'seconds': 11}",10,90,2005
4,Toledo,Mid-American,PUNT,"{'minutes': 1, 'seconds': 33}",1,"{'minutes': 1, 'seconds': 26}",91,252532649,25253264905,Western Michigan,Mid-American,3,False,1,"{'minutes': 2, 'seconds': 59}",80,-11,2005
5,Western Michigan,Mid-American,RUSHING TD,{'minutes': 2},2,"{'minutes': 14, 'seconds': 4}",100,252532649,25253264906,Toledo,Mid-American,6,True,1,"{'minutes': 1, 'seconds': 26}",49,51,2005
6,Toledo,Mid-American,PUNT,{'seconds': 28},2,"{'minutes': 13, 'seconds': 36}",87,252532649,25253264907,Western Michigan,Mid-American,3,False,2,"{'minutes': 14, 'seconds': 4}",82,-5,2005
7,Western Michigan,Mid-American,TURNOVER ON DOWNS,"{'minutes': 1, 'seconds': 32}",2,"{'minutes': 12, 'seconds': 4}",58,252532649,25253264908,Toledo,Mid-American,4,False,2,"{'minutes': 13, 'seconds': 36}",35,4,2005
8,Toledo,Mid-American,PUNT,"{'minutes': 4, 'seconds': 19}",2,"{'minutes': 7, 'seconds': 45}",53,252532649,25253264910,Western Michigan,Mid-American,6,False,2,"{'minutes': 12, 'seconds': 4}",58,23,2005
9,Western Michigan,Mid-American,PASSING TD,"{'minutes': 3, 'seconds': 35}",2,"{'minutes': 4, 'seconds': 10}",100,252532649,25253264911,Toledo,Mid-American,10,True,2,"{'minutes': 7, 'seconds': 45}",27,73,2005
10,Toledo,Mid-American,PASSING TD,"{'minutes': 2, 'seconds': 31}",2,"{'minutes': 1, 'seconds': 39}",0,252532649,25253264912,Western Michigan,Mid-American,8,True,2,"{'minutes': 4, 'seconds': 10}",73,73,2005
11,Western Michigan,Mid-American,PUNT,{'seconds': 54},2,{'seconds': 45},34,252532649,25253264913,Toledo,Mid-American,3,False,2,"{'minutes': 1, 'seconds': 39}",28,6,2005
12,Toledo,Mid-American,FG MISSED,{'seconds': 45},2,{},33,252532649,25253264914,Western Michigan,Mid-American,5,False,2,{'seconds': 45},76,43,2005
13,Western Michigan,Mid-American,Uncategorized,{},2,{},33,252532649,25253264915,Toledo,Mid-American,1,False,2,{},33,0,2005
14,Western Michigan,Mid-American,RUSHING TD,"{'minutes': 1, 'seconds': 10}",3,"{'minutes': 13, 'seconds': 50}",100,252532649,25253264916,Toledo,Mid-American,4,True,3,{'minutes': 15},31,69,2005
15,Toledo,Mid-American,FG GOOD,"{'minutes': 5, 'seconds': 13}",3,"{'minutes': 8, 'seconds': 37}",4,252532649,25253264917,Western Michigan,Mid-American,9,True,3,"{'minutes': 13, 'seconds': 50}",52,48,2005
16,Western Michigan,Mid-American,PUNT,"{'minutes': 3, 'seconds': 7}",3,"{'minutes': 5, 'seconds': 30}",45,252532649,25253264918,Toledo,Mid-American,6,False,3,"{'minutes': 8, 'seconds': 37}",28,17,2005
17,Toledo,Mid-American,PUNT,"{'minutes': 2, 'seconds': 22}",3,"{'minutes': 3, 'seconds': 8}",45,252532649,25253264919,Western Michigan,Mid-American,5,False,3,"{'minutes': 5, 'seconds': 30}",81,36,2005
18,Western Michigan,Mid-American,INT,"{'minutes': 1, 'seconds': 11}",3,"{'minutes': 1, 'seconds': 57}",25,252532649,25253264920,Toledo,Mid-American,3,False,3,"{'minutes': 3, 'seconds': 8}",20,5,2005
