,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards,season
0,Florida,SEC,PUNT,"{'minutes': 3, 'seconds': 24}",1,"{'minutes': 11, 'seconds': 30}",39,252460057,25246005701,Wyoming,Mountain West,6,False,1,"{'minutes': 14, 'seconds': 54}",68,29,2005
1,Wyoming,Mountain West,PUNT,"{'minutes': 1, 'seconds': 45}",1,"{'minutes': 9, 'seconds': 45}",21,252460057,25246005702,Florida,SEC,3,False,1,"{'minutes': 11, 'seconds': 30}",12,9,2005
2,Florida,SEC,FUMBLE,"{'minutes': 1, 'seconds': 50}",1,"{'minutes': 7, 'seconds': 55}",52,252460057,25246005703,Wyoming,Mountain West,5,False,1,"{'minutes': 9, 'seconds': 45}",66,14,2005
3,Wyoming,Mountain West,PUNT,"{'minutes': 1, 'seconds': 39}",1,"{'minutes': 6, 'seconds': 16}",47,252460057,25246005704,Florida,SEC,3,False,1,"{'minutes': 7, 'seconds': 55}",52,-5,2005
4,Florida,SEC,PUNT,"{'minutes': 2, 'seconds': 25}",1,"{'minutes': 3, 'seconds': 51}",79,252460057,25246005705,Wyoming,Mountain West,5,False,1,"{'minutes': 6, 'seconds': 16}",80,1,2005
5,Wyoming,Mountain West,PASSING TD,"{'minutes': 3, 'seconds': 36}",1,{'seconds': 15},100,252460057,25246005706,Florida,SEC,6,True,1,"{'minutes': 3, 'seconds': 51}",36,64,2005
6,Florida,SEC,PUNT,"{'minutes': 1, 'seconds': 49}",2,"{'minutes': 13, 'seconds': 26}",81,252460057,25246005707,Wyoming,Mountain West,3,False,1,{'seconds': 15},89,8,2005
7,Wyoming,Mountain West,PASSING TD,"{'minutes': 4, 'seconds': 47}",2,"{'minutes': 8, 'seconds': 39}",100,252460057,25246005708,Florida,SEC,9,True,2,"{'minutes': 13, 'seconds': 26}",59,41,2005
8,Florida,SEC,PUNT,"{'minutes': 1, 'seconds': 10}",2,"{'minutes': 7, 'seconds': 29}",62,252460057,25246005709,Wyoming,Mountain West,4,False,2,"{'minutes': 8, 'seconds': 39}",84,22,2005
9,Wyoming,Mountain West,FG GOOD,"{'minutes': 2, 'seconds': 5}",2,"{'minutes': 5, 'seconds': 24}",77,252460057,25246005710,Florida,SEC,5,True,2,"{'minutes': 7, 'seconds': 29}",16,61,2005
10,Florida,SEC,PUNT,"{'minutes': 2, 'seconds': 57}",2,"{'minutes': 2, 'seconds': 27}",54,252460057,25246005711,Wyoming,Mountain West,7,False,2,"{'minutes': 5, 'seconds': 24}",80,26,2005
11,Wyoming,Mountain West,END OF HALF,"{'minutes': 2, 'seconds': 27}",2,{},37,252460057,25246005712,Florida,SEC,5,False,2,"{'minutes': 2, 'seconds': 27}",20,17,2005
12,Wyoming,Mountain West,PASSING TD,"{'minutes': 3, 'seconds': 30}",3,"{'minutes': 11, 'seconds': 30}",100,252460057,25246005713,Florida,SEC,7,True,3,{'minutes': 15},20,80,2005
13,Florida,SEC,RUSHING TD,"{'minutes': 4, 'seconds': 33}",3,"{'minutes': 6, 'seconds': 57}",0,252460057,25246005714,Wyoming,Mountain West,8,True,3,"{'minutes': 11, 'seconds': 30}",34,34,2005
14,Wyoming,Mountain West,FG GOOD,"{'minutes': 3, 'seconds': 54}",3,"{'minutes': 3, 'seconds': 3}",70,252460057,25246005715,Florida,SEC,8,True,3,"{'minutes': 6, 'seconds': 57}",47,23,2005
