,attendance,away_conference,away_line_scores,away_points,away_team,conference_game,home_conference,home_line_scores,home_points,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week
0,13068.0,,"[0, 7, 0, 7]",14,Northeastern,False,Mid-American,"[7, 24, 7, 10]",48,Ball State,282412050,False,2008,regular,2008-08-28T19:00:00.000Z,Scheumann Stadium,3919.0,1
1,17494.0,,"[0, 0, 0, 0]",0,Indiana State,False,Mid-American,"[14, 14, 14, 10]",52,Eastern Michigan,282412199,False,2008,regular,2008-08-28T19:00:00.000Z,Rynearson Stadium,3912.0,1
2,19732.0,,"[3, 0, 3, 6]",12,Eastern Illinois,False,Mid-American,"[3, 14, 7, 7]",31,Central Michigan,282412117,False,2008,regular,2008-08-28T19:00:00.000Z,Kelly/Shorts Stadium,3786.0,1
3,16656.0,Conference USA,"[0, 14, 3, 0]",17,UTEP,False,Mid-American,"[14, 7, 7, 14]",42,Buffalo,282412084,False,2008,regular,2008-08-28T19:00:00.000Z,UB Stadium,3965.0,1
4,48119.0,,"[0, 0, 7, 0]",7,Charleston Southern,False,ACC,"[21, 7, 14, 10]",52,Miami,282412390,False,2008,regular,2008-08-28T19:30:00.000Z,Hard Rock Stadium,3948.0,1
5,45706.0,,"[0, 0, 7, 7]",14,Jacksonville State,False,ACC,"[14, 13, 7, 7]",41,Georgia Tech,282410059,False,2008,regular,2008-08-28T19:30:00.000Z,Bobby Dodd Stadium at Historic Grant Field,721.0,1
6,22307.0,Sun Belt,"[7, 10, 7, 7]",31,Troy,True,Sun Belt,"[3, 0, 0, 14]",17,Middle Tennessee,282412393,False,2008,regular,2008-08-28T19:30:00.000Z,"Johnny Red"""" Floyd Stadium""""",3725.0,1
7,37583.0,,"[0, 0, 3, 0]",3,Hofstra,False,Big East,"[14, 14, 0, 7]",35,Connecticut,282410041,False,2008,regular,2008-08-28T19:30:00.000Z,Rentschler Field,3892.0,1
8,26913.0,,"[0, 0, 7, 0]",7,Eastern Kentucky,False,Big East,"[6, 20, 14, 0]",40,Cincinnati,282412132,False,2008,regular,2008-08-28T19:30:00.000Z,Nippert Stadium,3854.0,1
9,18398.0,SEC,"[17, 10, 0, 7]",34,Vanderbilt,False,Mid-American,"[3, 7, 3, 0]",13,Miami (OH),282410193,False,2008,regular,2008-08-28T19:30:00.000Z,Yager Stadium,3996.0,1
