,attendance,away_conference,away_line_scores,away_points,away_team,conference_game,home_conference,home_line_scores,home_points,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week
0,,,[],0,Arkansas State,,FBS Independents,[],20,Ole Miss,8382,False,1914,regular,1914-10-03T00:00:00.000Z,,,3
1,,,[],10,Arkansas State,,FBS Independents,[],0,Ole Miss,8817,False,1915,regular,1915-10-01T00:00:00.000Z,,,3
2,,,[],0,Arkansas State,,FBS Independents,[],20,Ole Miss,9343,False,1916,regular,1916-10-07T00:00:00.000Z,,,4
3,,FBS Independents,[],0,Ole Miss,,,[],0,Arkansas State,9793,False,1917,regular,1917-10-06T00:00:00.000Z,,,4
4,,,[],0,Arkansas State,,FBS Independents,[],32,Ole Miss,10594,False,1919,regular,1919-10-04T00:00:00.000Z,,,3
5,,,[],7,Arkansas State,,Southern,[],10,Ole Miss,13476,False,1924,regular,1924-10-04T00:00:00.000Z,,,3
6,,,[],0,Arkansas State,,Southern,[],53,Ole Miss,14015,False,1925,regular,1925-09-26T00:00:00.000Z,,,2
7,,,[],0,Arkansas State,,Southern,[],28,Ole Miss,14601,False,1926,regular,1926-09-25T00:00:00.000Z,,,2
8,,,[],7,Arkansas State,,FBS Independents,[],46,Saint Louis,20473,False,1935,regular,1935-10-25T00:00:00.000Z,,,6
9,,,[],6,Arkansas State,,Big 7,[],37,Kansas State,28432,False,1948,regular,1948-10-09T00:00:00.000Z,,,5
10,,,[],0,Arkansas State,,SEC,[],67,Mississippi State,29575,False,1950,regular,1950-09-23T00:00:00.000Z,,,2
11,,,[],0,Arkansas State,,SEC,[],32,Mississippi State,30233,False,1951,regular,1951-09-22T00:00:00.000Z,,,2
12,,,[],14,Arkansas State,,SEC,[],41,Mississippi State,30947,False,1952,regular,1952-10-04T00:00:00.000Z,,,4
13,,,[],13,Arkansas State,,SEC,[],46,Mississippi State,32115,False,1954,regular,1954-10-02T00:00:00.000Z,,,3
14,,,[],9,Arkansas State,,SEC,[],19,Mississippi State,33397,False,1956,regular,1956-10-20T00:00:00.000Z,,,6
15,,,[],13,Arkansas State,,SEC,[],47,Mississippi State,33928,False,1957,regular,1957-10-12T00:00:00.000Z,,,5
16,,,[],0,Arkansas State,,SEC,[],38,Mississippi State,34568,False,1958,regular,1958-10-18T00:00:00.000Z,,,6
17,,,[],7,Arkansas State,,SEC,[],51,Florida,34794,False,1958,regular,1958-11-15T00:00:00.000Z,,,10
