,defense,defense_conference,drive_result,elapsed,end_period,end_time,end_yardline,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,yards
0,Mississippi State,SEC,DOWNS,"{'minutes': 4, 'seconds': 40}",1,"{'minutes': 10, 'seconds': 20}",67,400603836,4006038361,Southern Mississippi,Conference USA,12,False,1,{'minutes': 15},23,44
1,Southern Mississippi,Conference USA,FUMBLE,"{'minutes': 1, 'seconds': 1}",1,"{'minutes': 9, 'seconds': 19}",0,400603836,4006038362,Mississippi State,SEC,4,False,1,"{'minutes': 10, 'seconds': 20}",67,67
2,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 1}",1,"{'minutes': 7, 'seconds': 18}",20,400603836,4006038363,Southern Mississippi,Conference USA,3,False,1,"{'minutes': 9, 'seconds': 19}",20,0
3,Mississippi State,SEC,FG,"{'minutes': 1, 'seconds': 52}",1,"{'minutes': 5, 'seconds': 26}",86,400603836,4006038365,Southern Mississippi,Conference USA,4,True,1,"{'minutes': 7, 'seconds': 18}",89,-3
4,Southern Mississippi,Conference USA,TD,{},1,"{'minutes': 5, 'seconds': 26}",0,400603836,4006038366,Mississippi State,SEC,0,True,1,"{'minutes': 5, 'seconds': 26}",0,0
5,Mississippi State,SEC,TD,"{'minutes': 3, 'seconds': 12}",1,"{'minutes': 2, 'seconds': 14}",100,400603836,4006038367,Southern Mississippi,Conference USA,8,True,1,"{'minutes': 5, 'seconds': 26}",30,70
6,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 43}",1,{'seconds': 31},35,400603836,4006038368,Southern Mississippi,Conference USA,3,False,1,"{'minutes': 2, 'seconds': 14}",42,-7
7,Southern Mississippi,Conference USA,PUNT,{'seconds': 52},2,"{'minutes': 14, 'seconds': 39}",55,400603836,4006038369,Mississippi State,SEC,4,False,1,{'seconds': 31},83,28
8,Mississippi State,SEC,INT,"{'minutes': 6, 'seconds': 27}",1,"{'minutes': 8, 'seconds': 33}",95,400603843,4006038431,Auburn,SEC,13,False,1,{'minutes': 15},25,70
9,Auburn,SEC,TD,"{'minutes': 3, 'seconds': 15}",1,"{'minutes': 5, 'seconds': 18}",0,400603843,4006038432,Mississippi State,SEC,10,True,1,"{'minutes': 8, 'seconds': 33}",79,79
10,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 17}",1,"{'minutes': 3, 'seconds': 1}",34,400603843,4006038433,Auburn,SEC,3,False,1,"{'minutes': 5, 'seconds': 18}",25,9
11,Auburn,SEC,PUNT,"{'minutes': 2, 'seconds': 30}",1,{'seconds': 31},50,400603843,4006038434,Mississippi State,SEC,5,False,1,"{'minutes': 3, 'seconds': 1}",63,13
12,Mississippi State,SEC,PUNT,"{'minutes': 3, 'seconds': 53}",2,"{'minutes': 11, 'seconds': 38}",34,400603843,4006038435,Auburn,SEC,6,False,1,{'seconds': 31},20,14
13,Auburn,SEC,TD,"{'minutes': 3, 'seconds': 36}",2,"{'minutes': 8, 'seconds': 2}",0,400603843,4006038436,Mississippi State,SEC,11,True,2,"{'minutes': 11, 'seconds': 38}",79,79
14,Mississippi State,SEC,MISSED FG,"{'minutes': 7, 'seconds': 17}",2,{'seconds': 45},91,400603843,4006038437,Auburn,SEC,15,False,2,"{'minutes': 8, 'seconds': 2}",24,67
15,Auburn,SEC,END OF HALF,{'seconds': 45},2,{},76,400603843,4006038438,Mississippi State,SEC,1,False,2,{'seconds': 45},80,4
16,Auburn,SEC,FUMBLE,"{'minutes': 2, 'seconds': 20}",3,"{'minutes': 12, 'seconds': 40}",40,400603843,4006038439,Mississippi State,SEC,7,False,3,{'minutes': 15},65,21
17,Northwestern State,,TD,"{'minutes': 1, 'seconds': 39}",1,"{'minutes': 13, 'seconds': 21}",100,400603855,4006038551,Mississippi State,SEC,5,True,1,{'minutes': 15},25,75
18,Mississippi State,SEC,DOWNS,"{'minutes': 5, 'seconds': 53}",1,"{'minutes': 7, 'seconds': 28}",17,400603855,4006038552,Northwestern State,,11,False,1,"{'minutes': 13, 'seconds': 21}",75,58
19,Northwestern State,,TD,"{'minutes': 4, 'seconds': 2}",1,"{'minutes': 3, 'seconds': 26}",100,400603855,4006038553,Mississippi State,SEC,10,True,1,"{'minutes': 7, 'seconds': 28}",17,83
20,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 17}",1,"{'minutes': 1, 'seconds': 9}",89,400603855,4006038554,Northwestern State,,3,False,1,"{'minutes': 3, 'seconds': 26}",79,-10
21,Northwestern State,,TD,"{'minutes': 1, 'seconds': 2}",1,{'seconds': 7},100,400603855,4006038555,Mississippi State,SEC,4,True,1,"{'minutes': 1, 'seconds': 9}",67,33
22,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 42}",2,"{'minutes': 13, 'seconds': 25}",77,400603855,4006038556,Northwestern State,,3,False,1,{'seconds': 7},75,-2
23,Northwestern State,,FUMBLE,{'seconds': 28},2,"{'minutes': 12, 'seconds': 57}",72,400603855,4006038557,Mississippi State,SEC,2,False,2,"{'minutes': 13, 'seconds': 25}",29,43
24,Mississippi State,SEC,PUNT,"{'minutes': 1, 'seconds': 12}",2,"{'minutes': 11, 'seconds': 45}",71,400603855,4006038558,Northwestern State,,3,False,2,"{'minutes': 12, 'seconds': 57}",72,1
25,LSU,SEC,PUNT,"{'minutes': 2, 'seconds': 8}",1,"{'minutes': 12, 'seconds': 52}",41,400603865,4006038651,Mississippi State,SEC,5,False,1,{'minutes': 15},25,16
26,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 14}",1,"{'minutes': 10, 'seconds': 38}",67,400603865,4006038652,LSU,SEC,3,False,1,"{'minutes': 12, 'seconds': 52}",76,9
27,LSU,SEC,PUNT,"{'minutes': 1, 'seconds': 39}",1,"{'minutes': 8, 'seconds': 59}",15,400603865,4006038653,Mississippi State,SEC,3,False,1,"{'minutes': 10, 'seconds': 38}",9,6
28,Mississippi State,SEC,TD,"{'minutes': 4, 'seconds': 22}",1,"{'minutes': 4, 'seconds': 37}",0,400603865,4006038654,LSU,SEC,8,True,1,"{'minutes': 8, 'seconds': 59}",48,48
29,LSU,SEC,PUNT,"{'minutes': 2, 'seconds': 1}",1,"{'minutes': 2, 'seconds': 36}",10,400603865,4006038655,Mississippi State,SEC,3,False,1,"{'minutes': 4, 'seconds': 37}",25,-15
30,Mississippi State,SEC,TD,{'seconds': 38},1,"{'minutes': 1, 'seconds': 58}",0,400603865,4006038656,LSU,SEC,2,True,1,"{'minutes': 2, 'seconds': 36}",46,46
31,LSU,SEC,PUNT,"{'minutes': 2, 'seconds': 12}",2,"{'minutes': 14, 'seconds': 46}",46,400603865,4006038657,Mississippi State,SEC,5,False,1,"{'minutes': 1, 'seconds': 58}",23,23
32,Mississippi State,SEC,PUNT,{'minutes': 3},2,"{'minutes': 11, 'seconds': 46}",56,400603865,4006038658,LSU,SEC,6,False,2,"{'minutes': 14, 'seconds': 46}",80,24
33,LSU,SEC,PUNT,"{'minutes': 1, 'seconds': 31}",2,"{'minutes': 10, 'seconds': 15}",55,400603865,4006038659,Mississippi State,SEC,7,False,2,"{'minutes': 11, 'seconds': 46}",19,36
34,Mississippi State,SEC,TD,"{'minutes': 5, 'seconds': 1}",1,"{'minutes': 9, 'seconds': 59}",100,400603885,4006038851,Texas A&M,SEC,12,True,1,{'minutes': 15},9,91
35,Texas A&M,SEC,FG,"{'minutes': 4, 'seconds': 30}",1,"{'minutes': 5, 'seconds': 29}",20,400603885,4006038852,Mississippi State,SEC,11,True,1,"{'minutes': 9, 'seconds': 59}",83,63
36,Mississippi State,SEC,TD,"{'minutes': 2, 'seconds': 6}",1,"{'minutes': 3, 'seconds': 23}",100,400603885,4006038853,Texas A&M,SEC,6,True,1,"{'minutes': 5, 'seconds': 29}",25,75
37,Texas A&M,SEC,DOWNS,"{'minutes': 2, 'seconds': 56}",1,{'seconds': 27},35,400603885,4006038854,Mississippi State,SEC,9,False,1,"{'minutes': 3, 'seconds': 23}",75,40
38,Mississippi State,SEC,FG,"{'minutes': 2, 'seconds': 16}",2,"{'minutes': 13, 'seconds': 11}",63,400603885,4006038855,Texas A&M,SEC,6,True,1,{'seconds': 27},35,28
39,Texas A&M,SEC,TD,"{'minutes': 1, 'seconds': 38}",2,"{'minutes': 11, 'seconds': 33}",0,400603885,4006038856,Mississippi State,SEC,4,True,2,"{'minutes': 13, 'seconds': 11}",75,75
40,Mississippi State,SEC,PUNT,"{'minutes': 5, 'seconds': 44}",2,"{'minutes': 5, 'seconds': 49}",43,400603885,4006038857,Texas A&M,SEC,13,False,2,"{'minutes': 11, 'seconds': 33}",13,30
41,Texas A&M,SEC,PUNT,"{'minutes': 1, 'seconds': 33}",2,"{'minutes': 4, 'seconds': 16}",79,400603885,4006038858,Mississippi State,SEC,3,False,2,"{'minutes': 5, 'seconds': 49}",80,1
42,Mississippi State,SEC,MISSED FG,"{'minutes': 2, 'seconds': 18}",2,"{'minutes': 1, 'seconds': 58}",70,400603885,4006038859,Texas A&M,SEC,7,False,2,"{'minutes': 4, 'seconds': 16}",53,17
43,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 58}",1,"{'minutes': 12, 'seconds': 2}",45,400603889,4006038891,Kentucky,SEC,6,False,1,{'minutes': 15},75,30
44,Kentucky,SEC,PUNT,{'seconds': 57},1,"{'minutes': 11, 'seconds': 5}",19,400603889,4006038892,Mississippi State,SEC,3,False,1,"{'minutes': 12, 'seconds': 2}",11,8
45,Mississippi State,SEC,TD,"{'minutes': 2, 'seconds': 46}",1,"{'minutes': 8, 'seconds': 19}",0,400603889,4006038893,Kentucky,SEC,7,True,1,"{'minutes': 11, 'seconds': 5}",69,69
46,Kentucky,SEC,TD,"{'minutes': 5, 'seconds': 30}",1,"{'minutes': 2, 'seconds': 49}",100,400603889,4006038894,Mississippi State,SEC,15,True,1,"{'minutes': 8, 'seconds': 19}",19,81
47,Mississippi State,SEC,FG,"{'minutes': 1, 'seconds': 53}",1,{'seconds': 56},27,400603889,4006038895,Kentucky,SEC,8,True,1,"{'minutes': 2, 'seconds': 49}",75,48
48,Kentucky,SEC,TD,"{'minutes': 2, 'seconds': 18}",2,"{'minutes': 13, 'seconds': 38}",100,400603889,4006038896,Mississippi State,SEC,7,True,1,{'seconds': 56},25,75
49,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 13}",2,"{'minutes': 11, 'seconds': 25}",92,400603889,4006038897,Kentucky,SEC,3,False,2,"{'minutes': 13, 'seconds': 38}",87,-5
50,Kentucky,SEC,DOWNS,"{'minutes': 2, 'seconds': 7}",2,"{'minutes': 9, 'seconds': 18}",81,400603889,4006038898,Mississippi State,SEC,5,False,2,"{'minutes': 11, 'seconds': 25}",58,23
51,Mississippi State,SEC,PUNT,"{'minutes': 3, 'seconds': 15}",2,"{'minutes': 6, 'seconds': 3}",61,400603889,4006038899,Kentucky,SEC,7,False,2,"{'minutes': 9, 'seconds': 18}",81,20
52,Louisiana Tech,Conference USA,PUNT,"{'minutes': 1, 'seconds': 53}",1,"{'minutes': 13, 'seconds': 7}",45,400603895,4006038951,Mississippi State,SEC,6,False,1,{'minutes': 15},25,20
53,Mississippi State,SEC,TD,"{'minutes': 2, 'seconds': 40}",1,"{'minutes': 10, 'seconds': 27}",0,400603895,4006038952,Louisiana Tech,Conference USA,8,True,1,"{'minutes': 13, 'seconds': 7}",80,80
54,Louisiana Tech,Conference USA,PUNT,"{'minutes': 2, 'seconds': 9}",1,"{'minutes': 8, 'seconds': 18}",44,400603895,4006038953,Mississippi State,SEC,4,False,1,"{'minutes': 10, 'seconds': 27}",25,19
55,Mississippi State,SEC,TD,"{'minutes': 3, 'seconds': 59}",1,"{'minutes': 4, 'seconds': 19}",0,400603895,4006038954,Louisiana Tech,Conference USA,10,True,1,"{'minutes': 8, 'seconds': 18}",73,73
56,Louisiana Tech,Conference USA,TD,"{'minutes': 1, 'seconds': 49}",1,"{'minutes': 2, 'seconds': 30}",100,400603895,4006038955,Mississippi State,SEC,7,True,1,"{'minutes': 4, 'seconds': 19}",18,82
57,Mississippi State,SEC,PUNT,"{'minutes': 2, 'seconds': 6}",1,{'seconds': 24},51,400603895,4006038956,Louisiana Tech,Conference USA,4,False,1,"{'minutes': 2, 'seconds': 30}",75,24
58,Louisiana Tech,Conference USA,FG,"{'minutes': 3, 'seconds': 51}",2,"{'minutes': 11, 'seconds': 27}",92,400603895,4006038957,Mississippi State,SEC,15,True,1,{'seconds': 24},27,65
59,Mississippi State,SEC,FG,"{'minutes': 4, 'seconds': 9}",2,"{'minutes': 7, 'seconds': 18}",15,400603895,4006038958,Louisiana Tech,Conference USA,9,True,2,"{'minutes': 11, 'seconds': 27}",74,59
60,Louisiana Tech,Conference USA,TD,"{'minutes': 4, 'seconds': 25}",2,"{'minutes': 2, 'seconds': 53}",100,400603895,4006038959,Mississippi State,SEC,12,True,2,"{'minutes': 7, 'seconds': 18}",15,85
