,attendance,away_conference,away_line_scores,away_points,away_team,conference_game,home_conference,home_line_scores,home_points,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week
0,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],29,Vanderbilt,3359,False,1902,regular,1902-10-11T00:00:00.000Z,,,5
1,,,[],0,Cumberland,,FBS Independents,[],38,Ole Miss,3401,False,1902,regular,1902-10-18T00:00:00.000Z,,,6
2,,FBS Independents,[],21,Ole Miss,,FBS Independents,[],0,Mississippi State,3447,False,1902,regular,1902-10-25T00:00:00.000Z,,,7
3,,,[],0,Tennessee-Memphis,,FBS Independents,[],42,Ole Miss,3485,False,1902,regular,1902-11-01T00:00:00.000Z,,,8
4,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],6,LSU,3532,False,1902,regular,1902-11-08T00:00:00.000Z,,,9
5,,FBS Independents,[],10,Ole Miss,,FBS Independents,[],11,Tennessee,3581,False,1902,regular,1902-11-15T00:00:00.000Z,,,10
6,,FBS Independents,[],10,Ole Miss,,FBS Independents,[],0,Tulane,3636,False,1902,regular,1902-11-27T00:00:00.000Z,,,12
7,,,[],0,Ole Miss,,FBS Independents,[],33,Vanderbilt,3915,False,1903,regular,1903-10-24T00:00:00.000Z,,,7
8,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],69,Vanderbilt,4333,False,1904,regular,1904-10-15T00:00:00.000Z,,,5
9,,FBS Independents,[],5,Mississippi State,,FBS Independents,[],17,Ole Miss,4373,False,1904,regular,1904-10-22T00:00:00.000Z,,,6
10,,,[],0,Union (Tennessee),,FBS Independents,[],114,Ole Miss,4424,False,1904,regular,1904-10-29T00:00:00.000Z,,,7
11,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],5,LSU,4462,False,1904,regular,1904-11-05T00:00:00.000Z,,,8
12,,FBS Independents,[],0,Tennessee Medical College,,FBS Independents,[],42,Ole Miss,4506,False,1904,regular,1904-11-12T00:00:00.000Z,,,9
13,,FBS Independents,[],5,Nashville,,FBS Independents,[],12,Ole Miss,4550,False,1904,regular,1904-11-19T00:00:00.000Z,,,10
14,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],22,Tulane,4588,False,1904,regular,1904-11-24T00:00:00.000Z,,,11
15,,FBS Independents,[],18,Cumberland,,,[],0,Ole Miss,5063,False,1905,regular,1905-11-20T00:00:00.000Z,,,10
16,,FBS Independents,[],6,Maryville TN,,FBS Independents,[],16,Ole Miss,5165,False,1906,regular,1906-10-04T00:00:00.000Z,,,3
17,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],29,Vanderbilt,5244,False,1906,regular,1906-10-13T00:00:00.000Z,,,4
18,,FBS Independents,[],9,Ole Miss,,FBS Independents,[],0,LSU,5276,False,1906,regular,1906-10-20T00:00:00.000Z,,,5
19,,FBS Independents,[],17,Ole Miss,,FBS Independents,[],0,Tulane,5346,False,1906,regular,1906-11-03T00:00:00.000Z,,,7
20,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],24,Sewanee Univ. of the South,5395,False,1906,regular,1906-11-12T00:00:00.000Z,,,8
21,,FBS Independents,[],5,Mississippi State,,FBS Independents,[],29,Ole Miss,5464,False,1906,regular,1906-11-29T00:00:00.000Z,,,11
22,,FBS Independents,[],20,Alabama,,FBS Independents,[],0,Ole Miss,5570,False,1907,regular,1907-10-12T00:00:00.000Z,,,4
23,,,[],12,Southeast Missouri State,,FBS Independents,[],6,Ole Miss,5639,False,1907,regular,1907-10-19T00:00:00.000Z,,,5
24,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],65,Sewanee Univ. of the South,5681,False,1907,regular,1907-10-26T00:00:00.000Z,,,6
25,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],60,Vanderbilt,5762,False,1907,regular,1907-11-09T00:00:00.000Z,,,8
26,,FBS Independents,[],23,LSU,,FBS Independents,[],0,Ole Miss,5788,False,1907,regular,1907-11-16T00:00:00.000Z,,,9
27,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],15,Mississippi State,5840,False,1907,regular,1907-11-28T00:00:00.000Z,,,11
28,,,[],0,Tennessee-Memphis,,FBS Independents,[],30,Ole Miss,5912,False,1908,regular,1908-10-03T00:00:00.000Z,,,3
29,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],33,Arkansas,5938,False,1908,regular,1908-10-10T00:00:00.000Z,,,4
30,,,[],0,Southeast Missouri State,,FBS Independents,[],17,Ole Miss,6007,False,1908,regular,1908-10-17T00:00:00.000Z,,,5
31,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],29,Vanderbilt,6061,False,1908,regular,1908-10-24T00:00:00.000Z,,,6
32,,,[],0,Mississippi College,,FBS Independents,[],41,Ole Miss,6074,False,1908,regular,1908-10-29T00:00:00.000Z,,,7
33,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],10,Tulane,6105,False,1908,regular,1908-10-31T00:00:00.000Z,,,7
34,,,[],9,Rhodes,,FBS Independents,[],5,Ole Miss,6152,False,1908,regular,1908-11-10T00:00:00.000Z,,,9
35,,FBS Independents,[],6,Ole Miss,,FBS Independents,[],44,Mississippi State,6233,False,1908,regular,1908-11-26T00:00:00.000Z,,,11
36,,,[],0,Tennessee-Memphis,,FBS Independents,[],18,Ole Miss,6302,False,1909,regular,1909-10-02T00:00:00.000Z,,,3
37,,,[],0,Tennessee Medical College,,FBS Independents,[],15,Ole Miss,6321,False,1909,regular,1909-10-05T00:00:00.000Z,,,4
38,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],10,LSU,6349,False,1909,regular,1909-10-09T00:00:00.000Z,,,4
39,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],5,Tulane,6420,False,1909,regular,1909-10-16T00:00:00.000Z,,,5
40,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],0,Alabama,6434,False,1909,regular,1909-10-23T00:00:00.000Z,,,6
41,,FBS Independents,[],0,Ole Miss,,FBS Independents,[],17,Vanderbilt,6502,False,1909,regular,1909-10-30T00:00:00.000Z,,,7
42,,,[],12,Henderson State,,FBS Independents,[],12,Ole Miss,6578,False,1909,regular,1909-11-13T00:00:00.000Z,,,9
43,,,[],0,Union (Tennessee),,FBS Independents,[],45,Ole Miss,6599,False,1909,regular,1909-11-18T00:00:00.000Z,,,10
44,,FBS Independents,[],5,Mississippi State,,FBS Independents,[],9,Ole Miss,6641,False,1909,regular,1909-11-25T00:00:00.000Z,,,11
45,,,[],0,Memphis High,,FBS Independents,[],10,Ole Miss,6708,False,1910,regular,1910-10-01T00:00:00.000Z,,,3
46,,,[],0,Tennessee Medical College,,FBS Independents,[],2,Ole Miss,6729,False,1910,regular,1910-10-05T00:00:00.000Z,,,4
47,,FBS Independents,[],16,Ole Miss,,FBS Independents,[],0,Tulane,6784,False,1910,regular,1910-10-13T00:00:00.000Z,,,5
48,,FBS Independents,[],24,Ole Miss,,,[],0,Mississippi College,6831,False,1910,regular,1910-10-21T00:00:00.000Z,,,6
49,,FBS Independents,[],2,Ole Miss,,FBS Independents,[],9,Vanderbilt,6912,False,1910,regular,1910-10-29T00:00:00.000Z,,,7
50,,FBS Independents,[],0,Alabama,,FBS Independents,[],16,Ole Miss,6942,False,1910,regular,1910-11-05T00:00:00.000Z,,,8
51,,FBS Independents,[],44,Ole Miss,,,[],0,Tennessee Medical College,6981,False,1910,regular,1910-11-12T00:00:00.000Z,,,9
52,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],30,Ole Miss,7043,False,1910,regular,1910-11-24T00:00:00.000Z,,,11
