,attendance,away_conference,away_line_scores,away_points,away_team,conference_game,home_conference,home_line_scores,home_points,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week
0,,FBS Independents,[],13,Ole Miss,,,[],7,Southern Mississippi,8296,False,1913,regular,1913-11-27T00:00:00.000Z,,,11
1,,,[],7,Southern Mississippi,,FBS Independents,[],55,Mississippi College,9018,False,1915,regular,1915-10-23T00:00:00.000Z,,,6
2,,FBS Independents,[],75,Mississippi College,,,[],0,Southern Mississippi,9591,False,1916,regular,1916-11-07T00:00:00.000Z,,,9
3,,FBS Independents,[],19,Mississippi College,,,[],7,Southern Mississippi,10978,False,1919,regular,1919-11-17T00:00:00.000Z,,,9
4,,,[],0,Southern Mississippi,,Southern,[],49,Ole Miss,18134,False,1932,regular,1932-09-24T00:00:00.000Z,,,2
5,,,[],0,Southern Mississippi,,SEC,[],45,Ole Miss,18845,False,1933,regular,1933-09-30T00:00:00.000Z,,,3
6,,SEC,[],27,Mississippi State,,,[],0,Southern Mississippi,20667,False,1935,regular,1935-11-15T00:00:00.000Z,,,9
7,,,[],0,Southern Mississippi,,SEC,[],14,Ole Miss,22451,False,1938,regular,1938-10-08T00:00:00.000Z,,,4
8,,SEC,[],27,Ole Miss,,,[],7,Southern Mississippi,23395,False,1939,regular,1939-11-11T00:00:00.000Z,,,9
9,,,[],12,Southern Mississippi,,SEC,[],13,Auburn,26999,False,1946,regular,1946-09-27T00:00:00.000Z,,,3
10,,,[],7,Southern Mississippi,,SEC,[],34,Alabama,27608,False,1947,regular,1947-09-20T00:00:00.000Z,,,2
11,,,[],19,Southern Mississippi,,SEC,[],13,Auburn,27686,False,1947,regular,1947-09-27T00:00:00.000Z,,,3
12,,,[],7,Southern Mississippi,,SEC,[],14,Mississippi State,28161,False,1947,regular,1947-11-22T00:00:00.000Z,,,11
13,,,[],14,Southern Mississippi,,SEC,[],20,Auburn,28272,False,1948,regular,1948-09-24T00:00:00.000Z,,,3
14,,,[],0,Southern Mississippi,,SEC,[],27,Alabama,28657,False,1948,regular,1948-11-06T00:00:00.000Z,,,9
15,,,[],7,Southern Mississippi,,SEC,[],71,Kentucky,28907,False,1949,regular,1949-09-17T00:00:00.000Z,,,2
16,,,[],26,Southern Mississippi,,SEC,[],34,Alabama,29439,False,1949,regular,1949-11-19T00:00:00.000Z,,,11
17,,,[],0,Southern Mississippi,,SEC,[],56,Tennessee,29587,False,1950,regular,1950-09-23T00:00:00.000Z,,,2
18,,,[],0,Southern Mississippi,,SEC,[],53,Alabama,29982,False,1950,regular,1950-11-11T00:00:00.000Z,,,9
19,,,[],0,Southern Mississippi,,SEC,[],13,LSU,30229,False,1951,regular,1951-09-22T00:00:00.000Z,,,2
20,,,[],7,Southern Mississippi,,SEC,[],40,Alabama,30624,False,1951,regular,1951-11-10T00:00:00.000Z,,,9
21,,,[],6,Southern Mississippi,,SEC,[],20,Alabama,30816,False,1952,regular,1952-09-19T00:00:00.000Z,,,2
22,,,[],25,Southern Mississippi,,SEC,[],19,Alabama,31420,False,1953,regular,1953-09-18T00:00:00.000Z,,,1
23,,SEC,[],0,Georgia,,,[],14,Southern Mississippi,31941,False,1953,regular,1953-11-21T00:00:00.000Z,,,10
24,,,[],7,Southern Mississippi,,SEC,[],2,Alabama,31993,False,1954,regular,1954-09-17T00:00:00.000Z,,,1
25,,,[],7,Southern Mississippi,,FBS Independents,[],15,North Texas,32120,False,1954,regular,1954-10-02T00:00:00.000Z,,,3
26,,FBS Independents,[],0,Villanova,,,[],27,Southern Mississippi,32474,False,1954,regular,1954-11-13T00:00:00.000Z,,,9
27,,,[],18,Southern Mississippi,,FBS Independents,[],19,Florida State,32549,False,1954,regular,1954-11-27T00:00:00.000Z,,,11
28,,FBS Independents,[],0,North Texas,,,[],26,Southern Mississippi,32765,False,1955,regular,1955-10-08T00:00:00.000Z,,,4
29,,FBS Independents,[],6,Florida State,,,[],21,Southern Mississippi,33134,False,1955,regular,1955-11-26T00:00:00.000Z,,,11
30,,,[],23,Southern Mississippi,,FBS Independents,[],6,Dayton,33299,False,1956,regular,1956-10-06T00:00:00.000Z,,,4
31,,,[],19,Southern Mississippi,,FBS Independents,[],20,Florida State,33617,False,1956,regular,1956-11-17T00:00:00.000Z,,,10
