,attendance,away_conference,away_line_scores,away_points,away_team,conference_game,home_conference,home_line_scores,home_points,home_team,id,neutral_site,season,season_type,start_date,venue,venue_id,week
0,,,[],0,Birmingham High,,FBS Independents,[],57,Alabama,3324,False,1902,regular,1902-10-10T00:00:00.000Z,,,5
1,,,[],0,Marion,,FBS Independents,[],81,Alabama,3365,False,1902,regular,1902-10-13T00:00:00.000Z,,,5
2,,FBS Independents,[],0,Alabama,,FBS Independents,[],23,Auburn,3378,False,1902,regular,1902-10-18T00:00:00.000Z,,,6
3,,FBS Independents,[],5,Georgia,,FBS Independents,[],0,Alabama,3476,False,1902,regular,1902-11-01T00:00:00.000Z,,,8
4,,FBS Independents,[],0,Mississippi State,,FBS Independents,[],27,Alabama,3513,False,1902,regular,1902-11-08T00:00:00.000Z,,,9
5,,FBS Independents,[],10,Texas,,FBS Independents,[],0,Alabama,3592,False,1902,regular,1902-11-19T00:00:00.000Z,,,11
6,,FBS Independents,[],0,Georgia Tech,,FBS Independents,[],26,Alabama,3618,False,1902,regular,1902-11-27T00:00:00.000Z,,,12
7,,FBS Independents,[],11,LSU,,FBS Independents,[],0,Alabama,3653,False,1902,regular,1902-11-29T00:00:00.000Z,,,12
8,,FBS Independents,[],0,Alabama,,FBS Independents,[],30,Vanderbilt,3817,False,1903,regular,1903-10-10T00:00:00.000Z,,,5
9,,FBS Independents,[],0,Alabama,,,[],11,Mississippi State,3837,False,1903,regular,1903-10-16T00:00:00.000Z,,,6
10,,FBS Independents,[],6,Auburn,,FBS Independents,[],18,Alabama,3885,False,1903,regular,1903-10-23T00:00:00.000Z,,,7
11,,FBS Independents,[],23,Sewanee Univ. of the South,,FBS Independents,[],0,Alabama,3961,False,1903,regular,1903-11-02T00:00:00.000Z,,,8
12,,,[],0,LSU,,FBS Independents,[],18,Alabama,4005,False,1903,regular,1903-11-09T00:00:00.000Z,,,9
13,,FBS Independents,[],44,Cumberland,,FBS Independents,[],0,Alabama,4019,False,1903,regular,1903-11-14T00:00:00.000Z,,,10
14,,FBS Independents,[],0,Tennessee,,FBS Independents,[],24,Alabama,4084,False,1903,regular,1903-11-26T00:00:00.000Z,,,12
15,,FBS Independents,[],0,Florida,,FBS Independents,[],29,Alabama,4219,False,1904,regular,1904-10-03T00:00:00.000Z,,,3
16,,FBS Independents,[],18,Clemson,,FBS Independents,[],0,Alabama,4246,False,1904,regular,1904-10-08T00:00:00.000Z,,,4
17,,FBS Independents,[],6,Alabama,,FBS Independents,[],0,Mississippi State,4293,False,1904,regular,1904-10-15T00:00:00.000Z,,,5
18,,FBS Independents,[],0,Nashville,,FBS Independents,[],17,Alabama,4393,False,1904,regular,1904-10-24T00:00:00.000Z,,,6
19,,FBS Independents,[],5,Georgia,,FBS Independents,[],16,Alabama,4441,False,1904,regular,1904-11-05T00:00:00.000Z,,,8
20,,FBS Independents,[],5,Alabama,,FBS Independents,[],29,Auburn,4486,False,1904,regular,1904-11-12T00:00:00.000Z,,,9
21,,FBS Independents,[],5,Tennessee,,FBS Independents,[],0,Alabama,4585,False,1904,regular,1904-11-24T00:00:00.000Z,,,11
22,,FBS Independents,[],11,Alabama,,FBS Independents,[],0,LSU,4597,False,1904,regular,1904-12-02T00:00:00.000Z,,,12
23,,FBS Independents,[],6,Alabama,,FBS Independents,[],0,Tulane,4598,False,1904,regular,1904-12-03T00:00:00.000Z,,,12
24,,FBS Independents,[],10,Alabama,,,[],5,Pensacola A.C.,4601,False,1904,regular,1904-12-04T00:00:00.000Z,,,12
25,,,[],0,Maryville TN,,FBS Independents,[],17,Alabama,4689,False,1905,regular,1905-10-03T00:00:00.000Z,,,4
26,,FBS Independents,[],0,Alabama,,FBS Independents,[],34,Vanderbilt,4746,False,1905,regular,1905-10-07T00:00:00.000Z,,,4
27,,,[],0,Mississippi State,,FBS Independents,[],34,Alabama,4768,False,1905,regular,1905-10-14T00:00:00.000Z,,,5
28,,FBS Independents,[],5,Alabama,,FBS Independents,[],12,Georgia Tech,4827,False,1905,regular,1905-10-21T00:00:00.000Z,,,6
29,,FBS Independents,[],0,Alabama,,FBS Independents,[],25,Clemson,4866,False,1905,regular,1905-10-25T00:00:00.000Z,,,7
30,,FBS Independents,[],0,Georgia,,FBS Independents,[],36,Alabama,4920,False,1905,regular,1905-11-04T00:00:00.000Z,,,8
31,,,[],0,Centre,,FBS Independents,[],21,Alabama,4965,False,1905,regular,1905-11-09T00:00:00.000Z,,,9
